;config_5_avg
Standard_Acc;81,0500
RMSCE;0,0109
gaussian_noise;59,7960
shot_noise;63,9780
impulse_noise;65,2640
defocus_blur;75,2960
glass_blur;63,5120
motion_blur;70,1860
zoom_blur;72,5260
snow;71,3340
frost;71,8560
fog;74,1300
brightness;79,5140
contrast;75,7540
elastic_transform;70,8320
pixelate;68,5000
jpeg_compression;60,8220
speckle_noise;64,2960
gaussian_blur;72,5540
spatter;73,5720
saturate;75,1320
blue_noise;66,7380
brownish_noise;44,5140
checkerboard_cutout;67,7460
circular_motion_blur;74,6280
inverse_sparkles;44,9560
lines;55,7560
pinch_and_twirl;74,9640
ripple;65,7420
sparkles;67,4340
transverse_chromatic_abberation;48,1740
Acc_C-all-19;69,9397
Acc_C-original-15;69,5533
Acc_C-bar-10;61,0652
Acc_all-ex-pixelwise-noise-24;67,4764
RMSCE_C;0,0478
Combined_Noise;69,5200
