;config_361_avg;config_361_std;config_361_run_0;config_361_run_1;config_361_run_2;config_361_run_3;config_361_run_4
Standard_Acc;90,0700;6,2876;95,0800;95,2900;95,2400;82,4500;82,2900
RMSCE;0,0554;0,0265;0,0791;0,0753;0,0767;0,0208;0,0254
gaussian_noise;66,9800;5,3693;72,0000;69,4000;71,9000;63,3000;58,3000
shot_noise;70,9200;6,1736;75,7000;74,7000;77,3000;64,2000;62,7000
impulse_noise;70,7400;5,4533;76,2000;75,5000;73,7000;64,7000;63,6000
defocus_blur;84,4600;5,9862;89,2000;90,1000;88,7000;77,3000;77,0000
glass_blur;70,4800;4,8122;73,0000;72,0000;76,8000;67,9000;62,7000
motion_blur;80,1200;6,2011;84,2000;85,9000;85,2000;74,2000;71,1000
zoom_blur;81,9800;5,8184;85,6000;87,3000;86,6000;72,5000;77,9000
snow;77,1800;5,6489;80,6000;81,5000;83,0000;71,7000;69,1000
frost;83,1400;6,9603;88,6000;86,4000;90,9000;76,6000;73,2000
fog;83,2200;5,4748;87,3000;87,1000;88,6000;76,9000;76,2000
brightness;88,2400;5,8185;93,1000;92,1000;93,7000;80,7000;81,6000
contrast;84,3400;5,3080;88,5000;89,0000;88,4000;79,0000;76,8000
elastic_transform;78,9000;6,0962;83,6000;82,5000;85,2000;73,1000;70,1000
pixelate;75,9800;7,0468;80,8000;80,6000;83,3000;69,8000;65,4000
jpeg_compression;66,7800;4,6353;71,6000;68,9000;70,6000;63,3000;59,5000
speckle_noise;71,1800;6,8039;79,7000;73,8000;75,8000;65,1000;61,5000
gaussian_blur;76,8600;6,5472;82,3000;80,4000;83,5000;70,8000;67,3000
spatter;81,1800;6,4145;87,3000;83,9000;87,3000;76,1000;71,3000
saturate;83,7800;5,7398;90,0000;86,4000;88,6000;78,1000;75,8000
blue_noise;68,4200;4,0117;74,9000;70,1000;68,6000;64,9000;63,6000
brownish_noise;45,4000;2,5495;47,6000;45,2000;48,9000;43,0000;42,3000
checkerboard_cutout;73,4200;4,3116;76,1000;76,6000;78,0000;68,5000;67,9000
circular_motion_blur;83,0800;6,8230;88,5000;88,7000;88,7000;73,9000;75,6000
inverse_sparkles;48,3000;2,4315;46,0000;51,6000;50,6000;47,8000;45,5000
lines;60,6400;4,4782;61,9000;62,5000;67,4000;56,3000;55,1000
pinch_and_twirl;83,1000;6,3526;87,3000;88,9000;88,6000;75,1000;75,6000
ripple;73,1400;5,2997;77,1000;77,5000;77,7000;67,7000;65,7000
sparkles;73,9000;5,5818;78,2000;80,0000;76,7000;68,9000;65,7000
transverse_chromatic_abberation;58,4400;3,7489;60,1000;58,9000;64,3000;55,2000;53,7000
Acc_C-all-19;77,7084;5,7988;82,5947;81,4474;83,1105;71,8579;69,5316
Acc_C-original-15;77,5640;5,6740;82,0000;81,5333;82,9267;71,6800;69,6800
Acc_C-bar-10;66,7840;4,2644;69,7700;70,0000;70,9500;62,1300;61,0700
Acc_all-ex-pixelwise-noise-24;74,8358;5,2560;78,6875;78,5000;80,0542;69,3500;67,5875
RMSCE_C;0,0722;0,0039;0,0739;0,0686;0,0696;0,0700;0,0792
Combined_Noise;76,5400;5,4695;81,0600;79,8300;81,9600;70,7700;69,0800
