;config_502_avg;config_502_std;config_502_run_0;config_502_run_1;config_502_run_2
Standard_Acc;80,2633;0,0236;80,2800;80,2800;80,2300
RMSCE;0,0156;0,0026;0,0122;0,0184;0,0161
gaussian_noise;13,4513;0,5682;13,5100;14,1160;12,7280
shot_noise;21,5620;0,6446;21,3280;22,4420;20,9160
impulse_noise;24,3593;2,6869;22,8660;28,1320;22,0800
defocus_blur;63,6887;0,5622;64,0320;62,8960;64,1380
glass_blur;21,8573;0,8692;20,8540;21,7440;22,9740
motion_blur;57,6973;0,2920;57,6240;57,3820;58,0860
zoom_blur;58,3100;0,5816;58,5140;57,5180;58,8980
snow;58,4220;0,6366;57,5220;58,8900;58,8540
frost;50,0760;0,9096;49,1760;49,7300;51,3220
fog;65,4980;0,2343;65,7200;65,6000;65,1740
brightness;76,6387;0,1440;76,7880;76,4440;76,6840
contrast;54,0460;0,2675;54,1020;54,3420;53,6940
elastic_transform;63,8027;0,4605;64,3300;63,2080;63,8700
pixelate;52,7960;0,5446;53,1100;52,0300;53,2480
jpeg_compression;52,1520;0,5504;52,4880;51,3760;52,5920
speckle_noise;23,4453;1,0244;23,1600;24,8180;22,3580
gaussian_blur;54,9200;0,6517;55,0800;54,0540;55,6260
spatter;68,3113;0,2377;68,0240;68,6060;68,3040
saturate;66,6100;0,4102;66,9080;66,8920;66,0300
blue_noise;63,5013;1,1211;65,0320;63,0940;62,3780
brownish_noise;31,3040;1,0061;30,2440;32,6560;31,0120
checkerboard_cutout;56,1047;0,1755;56,0340;56,3460;55,9340
circular_motion_blur;70,9287;0,3291;71,3280;70,9360;70,5220
inverse_sparkles;32,3040;0,4397;31,9520;32,0360;32,9240
lines;49,1760;0,2009;48,8920;49,3260;49,3100
pinch_and_twirl;72,2833;0,2027;72,5700;72,1400;72,1400
ripple;57,2420;0,3234;57,6420;57,2340;56,8500
sparkles;58,4133;0,6097;57,7740;58,2320;59,2340
transverse_chromatic_abberation;30,8520;0,3864;30,3220;31,2320;31,0020
Acc_C-all-19;49,8760;0,1093;49,7440;50,0116;49,8724
Acc_C-original-15;48,9572;0,1140;48,7976;49,0567;49,0172
Acc_C-bar-10;52,2109;0,0818;52,1790;52,3232;52,1306
Acc_all-ex-pixelwise-noise-24;55,1431;0,1470;55,0429;55,0354;55,3509
RMSCE_C;0,1366;0,0069;0,1426;0,1401;0,1269
Combined_Noise;46,5233;0,9159;46,3000;47,7400;45,5300
