;config_3_avg
Standard_Acc;81,1100
RMSCE;0,0181
gaussian_noise;59,1520
shot_noise;63,1060
impulse_noise;66,1920
defocus_blur;75,6680
glass_blur;62,9460
motion_blur;70,3840
zoom_blur;72,9440
snow;70,6360
frost;70,7200
fog;73,5400
brightness;79,4300
contrast;75,1640
elastic_transform;70,7620
pixelate;66,9120
jpeg_compression;57,1920
speckle_noise;63,5420
gaussian_blur;73,6460
spatter;73,3220
saturate;74,4600
blue_noise;64,8980
brownish_noise;42,9340
checkerboard_cutout;66,6320
circular_motion_blur;74,1720
inverse_sparkles;45,1040
lines;54,5000
pinch_and_twirl;74,9660
ripple;62,6360
sparkles;67,1440
transverse_chromatic_abberation;50,7600
Acc_C-all-19;69,4588
Acc_C-original-15;68,9832
Acc_C-bar-10;60,3746
Acc_all-ex-pixelwise-noise-24;66,9406
RMSCE_C;0,0461
Combined_Noise;69,0300
