;config_2_avg
Standard_Acc;80,8100
RMSCE;0,0253
gaussian_noise;58,8660
shot_noise;63,0720
impulse_noise;66,3680
defocus_blur;75,4660
glass_blur;62,6280
motion_blur;69,8840
zoom_blur;72,4800
snow;70,4340
frost;70,3420
fog;73,7460
brightness;79,3600
contrast;74,7580
elastic_transform;70,6760
pixelate;68,3020
jpeg_compression;58,9160
speckle_noise;63,6280
gaussian_blur;73,0460
spatter;73,9740
saturate;74,5360
blue_noise;65,8620
brownish_noise;43,7840
checkerboard_cutout;66,8720
circular_motion_blur;75,0640
inverse_sparkles;44,3360
lines;53,9580
pinch_and_twirl;74,4800
ripple;64,8660
sparkles;67,6460
transverse_chromatic_abberation;47,7960
Acc_C-all-19;69,4991
Acc_C-original-15;69,0199
Acc_C-bar-10;60,4664
Acc_all-ex-pixelwise-noise-24;66,9729
RMSCE_C;0,0307
Combined_Noise;69,3200
