;config_0_avg
Standard_Acc;80,2900
RMSCE;0,0144
gaussian_noise;59,7100
shot_noise;63,7900
impulse_noise;66,6680
defocus_blur;75,1120
glass_blur;61,9160
motion_blur;69,4140
zoom_blur;71,7960
snow;70,4580
frost;71,0100
fog;73,5660
brightness;78,7840
contrast;75,2400
elastic_transform;69,6460
pixelate;68,1680
jpeg_compression;58,2200
speckle_noise;64,1360
gaussian_blur;72,7340
spatter;72,7660
saturate;74,0060
blue_noise;64,7420
brownish_noise;42,3440
checkerboard_cutout;66,3920
circular_motion_blur;74,3500
inverse_sparkles;43,3360
lines;53,8000
pinch_and_twirl;73,3900
ripple;64,2180
sparkles;66,4340
transverse_chromatic_abberation;47,9060
Acc_C-all-19;69,3232
Acc_C-original-15;68,8999
Acc_C-bar-10;59,6912
Acc_all-ex-pixelwise-noise-24;66,4586
RMSCE_C;0,0470
Combined_Noise;69,2300
