;config_0_avg
Standard_Acc;82,1500
RMSCE;0,0141
gaussian_noise;61,0520
shot_noise;65,1140
impulse_noise;69,0580
defocus_blur;77,7960
glass_blur;63,6680
motion_blur;71,6940
zoom_blur;74,4540
snow;71,8020
frost;70,8800
fog;75,0200
brightness;80,6100
contrast;76,6300
elastic_transform;72,1460
pixelate;67,0600
jpeg_compression;60,6000
speckle_noise;65,9660
gaussian_blur;75,9220
spatter;75,0860
saturate;76,2240
blue_noise;68,9440
brownish_noise;44,6680
checkerboard_cutout;68,6720
circular_motion_blur;76,6380
inverse_sparkles;44,3160
lines;55,5220
pinch_and_twirl;76,0080
ripple;65,6740
sparkles;68,4600
transverse_chromatic_abberation;51,3260
Acc_C-all-19;71,0938
Acc_C-original-15;70,5056
Acc_C-bar-10;62,0228
Acc_all-ex-pixelwise-noise-24;68,3698
RMSCE_C;0,0416
Combined_Noise;70,7600
