;config_491_avg;config_491_std;config_491_run_0;config_491_run_1;config_491_run_2
Standard_Acc;82,1900;0,1414;82,0900;82,0900;82,3900
RMSCE;0,2680;0,0033;0,2726;0,2656;0,2657
gaussian_noise;59,2380;1,9407;61,2180;56,6020;59,8940
shot_noise;63,2947;1,3887;64,6100;61,3740;63,9000
impulse_noise;67,5787;0,3546;68,0800;67,3160;67,3400
defocus_blur;76,8753;0,0512;76,8860;76,9320;76,8080
glass_blur;62,7113;0,6208;63,2400;61,8400;63,0540
motion_blur;71,7073;0,0514;71,7700;71,6440;71,7080
zoom_blur;74,3560;0,2211;74,4940;74,5300;74,0440
snow;71,3340;0,3932;71,7780;70,8220;71,4020
frost;70,6780;0,8928;71,4000;69,4200;71,2140
fog;74,9720;0,2256;74,8740;75,2840;74,7580
brightness;80,5153;0,0604;80,4420;80,5140;80,5900
contrast;75,9593;0,2883;76,0040;76,2880;75,5860
elastic_transform;72,4047;0,1819;72,5800;72,4800;72,1540
pixelate;67,5833;1,7202;65,3400;67,8900;69,5200
jpeg_compression;62,2347;0,3063;62,4340;61,8020;62,4680
speckle_noise;63,9653;1,0853;64,8420;62,4360;64,6180
gaussian_blur;74,4133;0,1253;74,4680;74,5320;74,2400
spatter;75,0467;0,3027;75,1620;74,6320;75,3460
saturate;76,1047;0,1629;75,9260;76,3200;76,0680
blue_noise;65,0953;0,0693;65,0020;65,1160;65,1680
brownish_noise;43,7253;0,0324;43,7420;43,6800;43,7540
checkerboard_cutout;68,5240;0,1075;68,3720;68,5980;68,6020
circular_motion_blur;76,3587;0,0688;76,4560;76,3100;76,3100
inverse_sparkles;44,7980;0,8025;45,8320;43,8760;44,6860
lines;56,7700;0,2287;56,9800;56,8780;56,4520
pinch_and_twirl;75,9187;0,1187;75,9300;76,0580;75,7680
ripple;66,7413;0,4940;66,1100;67,3160;66,7980
sparkles;68,4687;0,2169;68,7100;68,1840;68,5120
transverse_chromatic_abberation;53,0947;1,1176;54,3480;53,3020;51,6340
Acc_C-all-19;70,5775;0,3100;70,8183;70,1399;70,7743
Acc_C-original-15;70,0962;0,3167;70,3433;69,6492;70,2960
Acc_C-bar-10;61,9495;0,1556;62,1482;61,9318;61,7684
Acc_all-ex-pixelwise-noise-24;68,3873;0,0707;68,4699;68,2972;68,3948
RMSCE_C;0,2382;0,0048;0,2448;0,2359;0,2339
Combined_Noise;69,5933;0,4387;69,7700;68,9900;70,0200
