;config_334_avg
Standard_Acc;56,1400
RMSCE;0,0731
gaussian_noise;16,7660
shot_noise;21,1440
impulse_noise;23,5320
defocus_blur;37,7620
glass_blur;21,8380
motion_blur;44,7460
zoom_blur;40,2180
snow;35,6280
frost;36,2520
fog;46,7700
brightness;55,2560
contrast;33,2440
elastic_transform;46,1580
pixelate;47,0720
jpeg_compression;44,6580
speckle_noise;16,2680
gaussian_blur;40,0920
spatter;42,1180
saturate;51,1220
blue_noise_sample;39,6280
brownish_noise;27,0760
caustic_refraction;22,2720
checkerboard_cutout;33,0440
cocentric_sine_waves;15,9660
inverse_sparkles;12,9280
perlin_noise;42,9460
plasma_noise;12,3260
single_frequency_greyscale;16,5940
sparkles;40,8760
Acc_C-all-19;36,8760
Acc_C-original-15;36,7363
Acc_C-bar-10;26,3656
Acc_all-ex-pixelwise-noise-24;35,2901
RMSCE_C;0,2120
Combined_Noise;50,6300
