;config_312_avg
Standard_Acc;57,3600
RMSCE;0,0598
gaussian_noise;18,2080
shot_noise;22,8940
impulse_noise;23,7400
defocus_blur;34,2920
glass_blur;19,3700
motion_blur;42,3020
zoom_blur;37,4320
snow;35,1280
frost;37,5920
fog;47,3240
brightness;55,1060
contrast;32,7060
elastic_transform;46,4180
pixelate;48,4680
jpeg_compression;45,1160
speckle_noise;17,6420
gaussian_blur;35,9280
spatter;43,6820
saturate;50,8940
blue_noise_sample;38,4040
brownish_noise;28,6220
caustic_refraction;24,2000
checkerboard_cutout;32,6380
cocentric_sine_waves;17,9540
inverse_sparkles;13,8840
perlin_noise;44,4520
plasma_noise;13,3120
single_frequency_greyscale;17,3560
sparkles;43,2720
Acc_C-all-19;36,5391
Acc_C-original-15;36,4064
Acc_C-bar-10;27,4094
Acc_all-ex-pixelwise-noise-24;35,3103
RMSCE_C;0,1854
Combined_Noise;49,2500
