;config_294_avg;config_294_std;config_294_run_0;config_294_run_1;config_294_run_2
Standard_Acc;67,8800;0,1558;68,0600;67,6800;67,9000
RMSCE;0,0506;0,0032;0,0497;0,0472;0,0548
gaussian_noise;34,5880;1,5624;32,4080;35,9900;35,3660
shot_noise;38,8987;1,3253;37,2200;40,4600;39,0160
impulse_noise;34,4387;0,8958;33,3040;35,4940;34,5180
defocus_blur;43,0447;0,3571;42,5480;43,2140;43,3720
glass_blur;37,2920;0,8365;36,1220;38,0280;37,7260
motion_blur;49,7413;0,4857;49,0760;49,9260;50,2220
zoom_blur;45,5367;0,4338;44,9240;45,8160;45,8700
snow;46,0100;0,2009;45,8760;46,2940;45,8600
frost;48,1273;0,2848;47,7500;48,4380;48,1940
fog;48,9167;0,7249;47,8940;49,3660;49,4900
brightness;52,9340;0,3629;52,4220;53,2200;53,1600
contrast;37,2447;0,2420;36,9400;37,2620;37,5320
elastic_transform;50,6607;0,4822;49,9800;51,0360;50,9660
pixelate;54,6900;0,2980;54,3840;55,0940;54,5920
jpeg_compression;53,7747;0,5424;53,0640;54,3800;53,8800
speckle_noise;33,1920;1,4238;31,5580;35,0280;32,9900
gaussian_blur;45,6680;0,4875;45,0200;45,7880;46,1960
spatter;44,3807;0,4782;43,9740;45,0520;44,1160
saturate;48,4727;0,3462;47,9960;48,8080;48,6140
blue_noise_sample;47,8947;1,3014;46,3860;49,5620;47,7360
brownish_noise;50,9480;0,2550;50,9320;50,6440;51,2680
caustic_refraction;35,5960;0,4600;34,9900;35,6940;36,1040
checkerboard_cutout;42,8573;0,3068;43,1360;42,4300;43,0060
cocentric_sine_waves;32,3560;0,8735;31,1240;32,8940;33,0500
inverse_sparkles;26,9833;0,1237;26,9520;26,8500;27,1480
perlin_noise;56,5580;0,1969;56,3120;56,5680;56,7940
plasma_noise;28,9787;0,3258;29,1540;28,5220;29,2600
single_frequency_greyscale;29,1593;0,7256;28,3780;28,9740;30,1260
sparkles;60,3120;0,2249;60,3540;60,0180;60,5640
Acc_C-all-19;44,6111;0,5837;43,8137;45,1944;44,8253
Acc_C-original-15;45,0599;0,5768;44,2608;45,6012;45,3176
Acc_C-bar-10;41,1643;0,3018;40,7718;41,2156;41,5056
Acc_all-ex-pixelwise-noise-24;44,5934;0,3258;44,1376;44,7632;44,8796
RMSCE_C;0,1468;0,0048;0,1512;0,1402;0,1490
Combined_Noise;61,9500;0,3324;61,7200;61,7100;62,4200
