;config_340_avg;config_340_std;config_340_run_0;config_340_run_1;config_340_run_2
Standard_Acc;59,5400;0,1930;59,5100;59,3200;59,7900
RMSCE;0,0276;0,0024;0,0304;0,0279;0,0244
gaussian_noise;26,9747;0,7232;27,9900;26,5740;26,3600
shot_noise;31,2060;0,9145;32,4920;30,4440;30,6820
impulse_noise;28,7540;0,9340;29,8320;28,8760;27,5540
defocus_blur;43,8027;1,1305;44,6140;42,2040;44,5900
glass_blur;28,9600;1,4472;29,9380;26,9140;30,0280
motion_blur;50,1073;1,5125;50,9780;47,9800;51,3640
zoom_blur;44,6500;1,4962;45,7020;42,5340;45,7140
snow;42,4627;1,1157;43,5060;40,9160;42,9660
frost;43,8713;1,0152;44,7460;42,4480;44,4200
fog;51,0200;0,6478;51,7680;50,1880;51,1040
brightness;57,8687;0,6119;58,7340;57,4420;57,4300
contrast;35,5307;0,8133;36,6760;35,0500;34,8660
elastic_transform;50,8033;1,0331;51,7940;49,3780;51,2380
pixelate;52,6933;0,4797;52,8480;52,0440;53,1880
jpeg_compression;49,4393;1,0087;50,3140;48,0260;49,9780
speckle_noise;24,9833;1,0499;26,4620;24,3600;24,1280
gaussian_blur;46,2327;1,3172;47,1420;44,3700;47,1860
spatter;45,3967;0,4187;45,9700;44,9820;45,2380
saturate;53,8833;0,3200;54,3160;53,7820;53,5520
blue_noise_sample;41,4747;0,9635;42,8360;40,7420;40,8460
brownish_noise;30,9060;1,0188;30,6440;32,2640;29,8100
caustic_refraction;29,3167;1,2730;30,6580;27,6060;29,6860
checkerboard_cutout;36,4527;0,6695;36,8300;37,0160;35,5120
cocentric_sine_waves;24,1527;0,6230;24,9180;23,3920;24,1480
inverse_sparkles;16,9353;0,0355;16,9820;16,9280;16,8960
perlin_noise;48,4467;0,8010;49,2720;47,3620;48,7060
plasma_noise;14,8787;0,5476;15,3100;15,2200;14,1060
single_frequency_greyscale;24,6833;0,8578;25,8200;23,7480;24,4820
sparkles;47,8473;0,1827;47,6820;47,7580;48,1020
Acc_C-all-19;42,5600;0,8091;43,4643;41,5006;42,7151
Acc_C-original-15;42,5429;0,8560;43,4621;41,4012;42,7655
Acc_C-bar-10;31,5094;0,4144;32,0952;31,2036;31,2294
Acc_all-ex-pixelwise-noise-24;40,4309;0,6504;41,1317;39,5647;40,5962
RMSCE_C;0,1279;0,0019;0,1293;0,1291;0,1252
Combined_Noise;55,6767;0,2321;55,7600;55,9100;55,3600
