;config_332_avg
Standard_Acc;49,1500
RMSCE;0,1230
gaussian_noise;11,5200
shot_noise;15,1040
impulse_noise;16,8100
defocus_blur;34,5880
glass_blur;16,1720
motion_blur;39,5600
zoom_blur;38,4200
snow;29,6320
frost;28,9840
fog;41,4760
brightness;49,1300
contrast;30,2540
elastic_transform;43,2560
pixelate;33,0620
jpeg_compression;38,5820
speckle_noise;10,9660
gaussian_blur;35,9960
spatter;37,8940
saturate;47,0260
blue_noise_sample;32,5800
brownish_noise;21,5240
caustic_refraction;20,0120
checkerboard_cutout;25,6440
cocentric_sine_waves;11,2060
inverse_sparkles;9,7280
perlin_noise;36,0840
plasma_noise;10,4100
single_frequency_greyscale;13,8340
sparkles;33,1220
Acc_C-all-19;31,4964
Acc_C-original-15;31,1033
Acc_C-bar-10;21,4144
Acc_all-ex-pixelwise-noise-24;30,2332
RMSCE_C;0,2522
Combined_Noise;44,7800
