;config_310_avg
Standard_Acc;51,5300
RMSCE;0,0995
gaussian_noise;13,7900
shot_noise;17,2280
impulse_noise;18,8700
defocus_blur;32,4960
glass_blur;16,3180
motion_blur;37,7580
zoom_blur;37,3480
snow;28,6280
frost;29,2980
fog;39,9240
brightness;48,3860
contrast;29,6440
elastic_transform;42,1120
pixelate;37,4780
jpeg_compression;36,6500
speckle_noise;12,8180
gaussian_blur;33,7700
spatter;38,2000
saturate;46,9500
blue_noise_sample;33,0500
brownish_noise;23,9680
caustic_refraction;19,9620
checkerboard_cutout;28,5080
cocentric_sine_waves;13,4420
inverse_sparkles;12,1340
perlin_noise;37,6380
plasma_noise;9,9600
single_frequency_greyscale;14,6720
sparkles;36,6800
Acc_C-all-19;31,4561
Acc_C-original-15;31,0619
Acc_C-bar-10;23,0014
Acc_all-ex-pixelwise-noise-24;30,4968
RMSCE_C;0,2448
Combined_Noise;44,4900
