;config_4_avg;config_4_std;config_4_run_0;config_4_run_1;config_4_run_2
Standard_Acc;75,7467;0,2029;75,8800;75,4600;75,9000
RMSCE;0,1070;0,0035;0,1029;0,1114;0,1065
gaussian_noise;22,2720;1,1896;21,6900;23,9300;21,1960
shot_noise;30,3967;1,2083;29,8780;32,0660;29,2460
impulse_noise;30,9173;2,0519;32,5060;32,2260;28,0200
defocus_blur;57,8673;0,1087;58,0040;57,8600;57,7380
glass_blur;22,8947;0,5304;23,4400;22,1760;23,0680
motion_blur;51,6820;0,2073;51,5580;51,9740;51,5140
zoom_blur;51,3260;0,2011;51,6100;51,1960;51,1720
snow;52,1433;0,2532;52,4500;52,1500;51,8300
frost;45,8527;0,7860;45,1980;45,4020;46,9580
fog;60,4753;0,5384;60,9580;59,7240;60,7440
brightness;70,9493;0,3105;71,3880;70,7480;70,7120
contrast;51,5160;0,8062;52,1680;50,3800;52,0000
elastic_transform;58,8220;0,0177;58,8400;58,7980;58,8280
pixelate;48,7327;0,4590;48,5560;48,2800;49,3620
jpeg_compression;51,8600;0,5501;51,9980;52,4540;51,1280
speckle_noise;32,1373;1,3565;31,7120;33,9700;30,7300
gaussian_blur;48,6293;0,2928;48,9380;48,7140;48,2360
spatter;61,0060;0,5940;61,7860;60,8860;60,3460
saturate;61,6620;0,4279;62,1920;61,6500;61,1440
blue_noise;23,4807;2,9141;25,8120;25,2580;19,3720
brownish_noise;30,7387;0,8336;31,6400;30,9460;29,6300
checkerboard_cutout;52,6227;0,3335;52,3340;53,0900;52,4440
circular_motion_blur;64,3880;0,4409;64,5640;63,7820;64,8180
inverse_sparkles;27,2247;0,4824;27,7080;26,5660;27,4000
lines;47,2460;0,6590;47,9260;47,4580;46,3540
pinch_and_twirl;69,3153;0,1504;69,5040;69,3060;69,1360
ripple;50,6120;0,3271;50,1640;50,7360;50,9360
sparkles;52,4787;0,3587;52,2280;52,2220;52,9860
transverse_chromatic_abberation;30,6260;0,7608;31,3400;30,9660;29,5720
Acc_C-all-19;47,9548;0,2669;48,1511;48,1360;47,5775
Acc_C-original-15;47,1805;0,1990;47,3495;47,2909;46,9011
Acc_C-bar-10;44,8733;0,4461;45,3220;45,0330;44,2648
Acc_all-ex-pixelwise-noise-24;50,8613;0,1718;51,1038;50,7277;50,7523
RMSCE_C;0,3106;0,0055;0,3037;0,3172;0,3109
Combined_Noise;47,7167;1,0637;46,9200;49,2200;47,0100
