;config_513_avg
Standard_Acc;69,7720
RMSCE;0,0292
gaussian_noise;23,1268
shot_noise;21,3868
impulse_noise;19,2608
defocus_blur;27,7280
glass_blur;22,8364
motion_blur;29,4520
zoom_blur;29,3568
snow;23,7536
frost;27,9292
fog;33,4644
brightness;58,6128
contrast;30,4968
elastic_transform;39,4388
pixelate;41,9532
jpeg_compression;46,5368
speckle_noise;28,3452
gaussian_blur;31,6252
spatter;41,5188
saturate;52,7556
blue_noise_sample;31,5388
brownish_noise;48,6256
caustic_refraction;45,1536
checkerboard_cutout;42,4436
cocentric_sine_waves;12,8472
inverse_sparkles;17,9892
perlin_noise;50,2844
plasma_noise;21,2092
single_frequency_greyscale;16,8936
sparkles;53,7456
Acc_C-all-19;33,1357
Acc_C-original-15;31,6889
Acc_C-bar-10;34,0731
Acc_all-ex-pixelwise-noise-24;35,2771
RMSCE_C;0,1177
Combined_Noise;63,1520
