;config_424_avg;config_424_std;config_424_run_0;config_424_run_1;config_424_run_2
Standard_Acc;96,4900;0,1003;96,5800;96,3500;96,5400
RMSCE;0,0564;0,0025;0,0574;0,0530;0,0588
gaussian_noise;80,5887;0,2495;80,2360;80,7540;80,7760
shot_noise;84,9560;0,3001;84,6680;84,8300;85,3700
impulse_noise;86,5260;0,4448;86,0420;86,4200;87,1160
defocus_blur;94,1227;0,1255;94,0280;94,0400;94,3000
glass_blur;85,1233;0,3578;85,1840;84,6580;85,5280
motion_blur;90,8213;0,4722;90,1560;91,1040;91,2040
zoom_blur;92,6800;0,1424;92,4860;92,7300;92,8240
snow;91,3013;0,2495;91,1360;91,1140;91,6540
frost;91,6100;0,2855;91,3520;91,4700;92,0080
fog;93,9140;0,2498;93,6560;93,8340;94,2520
brightness;96,0293;0,0969;96,1580;95,9240;96,0060
contrast;94,3233;0,1482;94,5220;94,1660;94,2820
elastic_transform;90,4993;0,3013;90,5820;90,0960;90,8200
pixelate;82,5987;1,0698;81,6740;82,0240;84,0980
jpeg_compression;83,4233;0,9272;82,4480;83,1520;84,6700
speckle_noise;85,6587;0,3943;85,2380;85,5520;86,1860
gaussian_blur;93,1440;0,1823;92,9280;93,1300;93,3740
spatter;92,8233;0,3123;92,3840;93,0040;93,0820
saturate;95,1007;0,0723;95,1200;95,0040;95,1780
blue_noise;88,7193;0,9620;87,4940;88,8200;89,8440
brownish_noise;79,7007;0,6315;80,1220;78,8080;80,1720
checkerboard_cutout;88,0853;0,1413;87,9560;88,0180;88,2820
circular_motion_blur;92,3573;0,4638;92,7100;91,7020;92,6600
inverse_sparkles;74,4960;0,4985;74,4680;75,1200;73,9000
lines;79,6180;0,8821;79,1460;80,8540;78,8540
pinch_and_twirl;92,7347;0,2749;93,0260;92,3660;92,8120
ripple;85,5860;1,4480;83,6700;85,9180;87,1700
sparkles;87,4273;0,5053;86,8820;88,1000;87,3000
transverse_chromatic_abberation;81,2913;0,6730;81,8840;80,3500;81,6400
Acc_C-all-19;89,7497;0,2859;89,4736;89,6319;90,1436
Acc_C-original-15;89,2345;0,3061;88,9552;89,0877;89,6605
Acc_C-bar-10;85,0016;0,2154;84,7358;85,0056;85,2634
Acc_all-ex-pixelwise-noise-24;88,7005;0,2199;88,4866;88,6119;89,0029
RMSCE_C;0,0501;0,0014;0,0506;0,0482;0,0516
Combined_Noise;88,2233;0,3014;87,8100;88,5200;88,3400
