;config_306_avg
Standard_Acc;75,3100
RMSCE;0,0346
gaussian_noise;51,8940
shot_noise;56,8780
impulse_noise;53,0220
defocus_blur;70,0880
glass_blur;60,2440
motion_blur;66,9680
zoom_blur;67,8560
snow;66,1740
frost;65,4940
fog;70,0400
brightness;73,7880
contrast;69,3720
elastic_transform;66,8780
pixelate;66,9880
jpeg_compression;58,1540
speckle_noise;57,7240
gaussian_blur;67,3940
spatter;67,9760
saturate;69,5260
blue_noise;51,3160
brownish_noise;40,3940
checkerboard_cutout;60,1420
circular_motion_blur;67,3520
inverse_sparkles;43,7060
lines;52,4480
pinch_and_twirl;70,0220
ripple;59,5880
sparkles;62,2360
transverse_chromatic_abberation;49,2400
Acc_C-all-19;64,5504
Acc_C-original-15;64,2559
Acc_C-bar-10;55,6444
Acc_all-ex-pixelwise-noise-24;63,0028
RMSCE_C;0,0922
Combined_Noise;62,7000
