;config_319_avg;config_319_std;config_319_run_0;config_319_run_1;config_319_run_2;config_319_run_3;config_319_run_4
Standard_Acc;82,0380;0,2704;82,1300;82,0200;81,9300;82,4700;81,6400
RMSCE;0,0264;0,0062;0,0336;0,0209;0,0223;0,0343;0,0209
gaussian_noise;58,4236;1,2167;57,7600;56,4500;59,6140;59,6960;58,5980
shot_noise;62,6568;1,2078;62,0020;60,7860;63,4980;64,2860;62,7120
impulse_noise;67,3520;0,5746;66,8440;66,8360;67,7180;68,3040;67,0580
defocus_blur;77,3156;0,2316;77,4400;76,9960;77,4020;77,6320;77,1080
glass_blur;62,4348;1,0489;61,5340;62,2320;62,7300;64,2940;61,3840
motion_blur;71,7916;0,6342;71,0500;71,5160;72,1540;72,8400;71,3980
zoom_blur;74,3760;0,2668;74,4960;73,9420;74,7500;74,4220;74,2700
snow;71,0244;0,8255;70,1000;71,4760;70,8120;72,3840;70,3500
frost;70,5672;0,8902;70,2540;70,5320;70,0720;72,2660;69,7120
fog;74,9472;0,4653;74,6020;74,6380;75,0160;75,8280;74,6520
brightness;80,5080;0,1376;80,5140;80,4840;80,7580;80,4400;80,3440
contrast;77,1000;0,2469;77,3060;77,3120;77,2840;76,8340;76,7640
elastic_transform;71,5648;0,4463;71,3140;70,8960;71,8120;72,2160;71,5860
pixelate;65,4728;1,9610;64,3600;66,8380;63,6720;68,6640;63,8300
jpeg_compression;59,7488;1,2426;59,1060;58,9500;61,0820;61,3660;58,2400
speckle_noise;63,3840;1,1815;62,5120;61,6920;64,1560;65,0400;63,5200
gaussian_blur;75,5356;0,2961;75,9140;75,0880;75,3740;75,7960;75,5060
spatter;74,1860;0,2495;74,0120;74,2900;74,2820;74,5340;73,8120
saturate;75,7668;0,1272;75,5860;75,7980;75,8900;75,9060;75,6540
blue_noise;65,0560;0,9352;64,7420;65,8820;66,2840;64,7200;63,6520
brownish_noise;44,0132;1,1844;44,5320;44,6020;43,0380;45,5960;42,2980
checkerboard_cutout;67,1132;0,1526;67,0840;67,1900;67,3380;66,8720;67,0820
circular_motion_blur;75,7212;0,1724;75,9640;75,6940;75,8660;75,5020;75,5800
inverse_sparkles;42,7992;1,2836;40,9400;43,2120;43,0040;44,7980;42,0420
lines;53,7500;0,9765;52,4220;54,6780;53,7920;54,9480;52,9100
pinch_and_twirl;75,0812;0,4008;75,1040;74,9600;75,1380;75,7280;74,4760
ripple;63,3784;0,6202;63,0820;63,8140;64,0760;62,3240;63,5960
sparkles;67,0320;0,5510;66,5120;67,1260;66,8080;68,0560;66,6580
transverse_chromatic_abberation;51,4700;0,9555;51,1040;49,9860;51,2380;52,5720;52,4500
Acc_C-all-19;70,2187;0,5419;69,8266;69,8291;70,4251;71,1973;69,8157
Acc_C-original-15;69,6856;0,5943;69,2455;69,3256;69,8916;70,7648;69,2004
Acc_C-bar-10;60,5414;0,3850;60,1486;60,7144;60,6582;61,1116;60,0744
Acc_all-ex-pixelwise-noise-24;67,6124;0,4398;67,2638;67,5938;67,6412;68,4091;67,1543
RMSCE_C;0,0503;0,0039;0,0464;0,0538;0,0463;0,0495;0,0558
Combined_Noise;69,7040;0,4543;69,6000;69,2300;69,5100;70,5700;69,6100
