;config_283_avg;config_283_std;config_283_run_0;config_283_run_1;config_283_run_2;config_283_run_3;config_283_run_4
Standard_Acc;82,0100;0,1807;81,9900;81,9900;82,3500;81,8300;81,8900
RMSCE;0,0277;0,0033;0,0330;0,0242;0,0244;0,0273;0,0295
gaussian_noise;55,2444;2,2039;51,9380;58,1060;53,9240;55,1620;57,0920
shot_noise;60,5480;1,9570;57,7700;63,3220;59,3840;60,2100;62,0540
impulse_noise;63,9520;0,4464;64,4580;63,2960;63,7520;63,8040;64,4500
defocus_blur;77,1724;0,2459;77,5360;76,9700;77,3420;76,8560;77,1580
glass_blur;62,7284;0,8331;61,4620;63,6140;62,7480;63,6220;62,1960
motion_blur;71,7084;0,4310;71,6560;72,3780;71,4480;71,9460;71,1140
zoom_blur;74,4728;0,3707;74,4660;75,0940;74,5880;74,0040;74,2120
snow;71,4036;0,2891;71,5260;71,7300;71,3360;71,5440;70,8820
frost;70,9032;0,8743;69,5920;72,2600;70,7760;71,2920;70,5960
fog;75,0880;0,2714;74,9660;75,3900;75,2020;75,2620;74,6200
brightness;80,4964;0,2157;80,4120;80,4180;80,9200;80,3120;80,4200
contrast;77,2008;0,2654;76,8980;77,2300;77,5980;77,3560;76,9220
elastic_transform;71,6404;0,3355;71,3520;72,0680;71,8100;71,8180;71,1540
pixelate;66,3128;1,3205;68,1100;67,4800;64,7180;66,1960;65,0600
jpeg_compression;59,7176;0,4508;59,8800;60,4180;59,5120;59,7360;59,0420
speckle_noise;61,5892;1,7845;59,1720;64,1120;60,2060;61,5260;62,9300
gaussian_blur;75,2096;0,3802;75,7620;74,9360;75,3220;74,6580;75,3700
spatter;74,4476;0,2718;74,2000;74,2000;74,9260;74,5500;74,3620
saturate;75,7376;0,2713;75,5400;75,6100;76,2360;75,8080;75,4940
blue_noise;64,0716;1,0363;65,9240;62,8940;64,0240;63,3380;64,1780
brownish_noise;43,2148;0,4625;42,7840;42,8880;44,0920;43,1700;43,1400
checkerboard_cutout;67,2408;0,1776;67,3680;66,9780;67,4260;67,3520;67,0800
circular_motion_blur;75,7796;0,4658;75,9280;76,0920;76,3960;75,1900;75,2920
inverse_sparkles;44,2692;1,0566;42,9900;46,0980;44,5400;44,1680;43,5500
lines;54,3412;0,3118;54,8900;54,2060;54,3560;53,9340;54,3200
pinch_and_twirl;75,0996;0,3839;74,6440;75,3260;75,4540;75,4520;74,6220
ripple;63,5820;0,4825;64,1480;62,9800;63,1340;64,1100;63,5380
sparkles;67,0472;0,2963;67,5240;67,2520;66,9040;66,8240;66,7320
transverse_chromatic_abberation;50,7552;0,7736;50,5580;50,8380;51,7180;49,4200;51,2420
Acc_C-all-19;69,7670;0,3826;69,2998;70,4543;69,5657;69,7717;69,7436
Acc_C-original-15;69,2393;0,4040;68,8015;69,9849;69,0039;69,2747;69,1315
Acc_C-bar-10;60,5401;0,1883;60,6758;60,5552;60,8044;60,2958;60,3694
Acc_all-ex-pixelwise-noise-24;67,7320;0,1993;67,6747;68,0189;67,8542;67,6908;67,4216
RMSCE_C;0,0571;0,0058;0,0529;0,0578;0,0675;0,0506;0,0567
Combined_Noise;68,1520;0,5998;67,0600;68,6800;67,9600;68,4800;68,5800
