;config_288_avg
Standard_Acc;79,3400
RMSCE;0,0266
gaussian_noise;58,4300
shot_noise;62,4020
impulse_noise;62,1920
defocus_blur;74,8680
glass_blur;64,0600
motion_blur;72,1940
zoom_blur;72,8120
snow;71,2960
frost;72,3360
fog;73,7600
brightness;77,5460
contrast;74,3920
elastic_transform;71,0600
pixelate;72,0440
jpeg_compression;64,2060
speckle_noise;63,1160
gaussian_blur;72,8920
spatter;72,1340
saturate;73,8680
blue_noise;59,7640
brownish_noise;44,1220
checkerboard_cutout;62,9060
circular_motion_blur;72,4760
inverse_sparkles;46,8820
lines;54,3800
pinch_and_twirl;73,2480
ripple;66,4500
sparkles;64,5080
transverse_chromatic_abberation;56,6520
Acc_C-all-19;69,7688
Acc_C-original-15;69,5732
Acc_C-bar-10;60,1388
Acc_all-ex-pixelwise-noise-24;67,5455
RMSCE_C;0,0411
Combined_Noise;66,9100
