;config_287_avg
Standard_Acc;79,6600
RMSCE;0,0279
gaussian_noise;58,5580
shot_noise;62,3880
impulse_noise;60,7360
defocus_blur;75,4340
glass_blur;64,0360
motion_blur;72,7800
zoom_blur;73,5220
snow;71,0820
frost;71,6840
fog;74,0280
brightness;78,0000
contrast;74,6560
elastic_transform;71,6480
pixelate;72,1280
jpeg_compression;63,5760
speckle_noise;62,6020
gaussian_blur;73,5400
spatter;72,5720
saturate;74,1980
blue_noise;57,3260
brownish_noise;45,3360
checkerboard_cutout;63,8920
circular_motion_blur;73,5480
inverse_sparkles;46,5340
lines;54,3180
pinch_and_twirl;74,0580
ripple;66,4480
sparkles;64,6580
transverse_chromatic_abberation;56,8320
Acc_C-all-19;69,8509
Acc_C-original-15;69,6171
Acc_C-bar-10;60,2950
Acc_all-ex-pixelwise-noise-24;67,8545
RMSCE_C;0,0404
Combined_Noise;66,4100
