;config_348_avg;config_348_std;config_348_run_0;config_348_run_1;config_348_run_2
Standard_Acc;82,2633;0,1546;82,1300;82,1800;82,4800
RMSCE;0,0287;0,0009;0,0292;0,0294;0,0274
gaussian_noise;58,8293;1,0248;60,1320;57,6280;58,7280
shot_noise;63,0040;0,6813;63,9040;62,2560;62,8520
impulse_noise;65,2500;0,6399;65,9240;64,3900;65,4360
defocus_blur;77,0693;0,4077;77,2200;76,5120;77,4760
glass_blur;61,7100;0,4485;61,0780;62,0720;61,9800
motion_blur;71,4447;0,4774;71,8700;70,7780;71,6860
zoom_blur;74,4160;0,4741;74,6440;73,7560;74,8480
snow;70,8753;0,1764;70,6440;71,0720;70,9100
frost;69,8273;0,1881;69,8420;69,5900;70,0500
fog;75,0167;0,2947;75,3480;74,6320;75,0700
brightness;80,6673;0,0491;80,7040;80,5980;80,7000
contrast;76,5060;0,3365;76,7800;76,0320;76,7060
elastic_transform;71,5020;0,4619;71,6160;70,8880;72,0020
pixelate;64,4100;0,6211;64,4460;65,1520;63,6320
jpeg_compression;59,3320;0,2165;59,0360;59,4120;59,5480
speckle_noise;63,7327;0,7453;64,7480;62,9800;63,4700
gaussian_blur;75,0167;0,5245;75,3520;74,2760;75,4220
spatter;74,6113;0,0846;74,5200;74,7240;74,5900
saturate;75,9827;0,1933;76,1360;75,7100;76,1020
blue_noise;65,4333;0,1235;65,3160;65,6040;65,3800
brownish_noise;43,2140;0,2977;43,6240;42,9260;43,0920
checkerboard_cutout;68,6093;0,2909;68,2840;68,5540;68,9900
circular_motion_blur;76,0247;0,2992;75,6200;76,1200;76,3340
inverse_sparkles;42,8027;0,3601;42,7980;42,3640;43,2460
lines;54,5033;0,4346;54,3480;54,0660;55,0960
pinch_and_twirl;75,0133;0,4068;75,1400;74,4640;75,4360
ripple;64,7213;0,3022;64,3000;64,9940;64,8700
sparkles;67,9393;0,1840;67,6800;68,0880;68,0500
transverse_chromatic_abberation;50,3540;0,9682;51,4220;49,0780;50,5620
Acc_C-all-19;69,9581;0,2578;70,2076;69,6031;70,0636
Acc_C-original-15;69,3240;0,2438;69,5459;68,9845;69,4416
Acc_C-bar-10;60,8615;0,1960;60,8532;60,6258;61,1056
Acc_all-ex-pixelwise-noise-24;67,5654;0,1812;67,6022;67,3274;67,7666
RMSCE_C;0,0710;0,0044;0,0718;0,0759;0,0653
Combined_Noise;69,7400;0,0963;69,8700;69,6400;69,7100
