;config_585_avg
Standard_Acc;97,5931
RMSCE;0,1713
gaussian_noise;84,8875
shot_noise;86,9131
impulse_noise;87,7022
defocus_blur;49,3884
glass_blur;47,0867
motion_blur;42,4438
zoom_blur;25,7004
snow;69,4594
frost;95,6859
fog;96,4619
brightness;76,6013
contrast;95,8306
elastic_transform;80,3367
pixelate;62,7252
jpeg_compression;89,0701
speckle_noise;83,1119
gaussian_blur;55,3466
spatter;85,3084
saturate;97,4221
blue_noise;94,6600
brownish_noise;87,9653
checkerboard_cutout;63,3697
circular_motion_blur;51,2824
inverse_sparkles;92,3714
lines;71,8269
pinch_and_twirl;86,8999
ripple;81,0338
sparkles;51,6901
transverse_chromatic_abberation;25,3058
Acc_C-all-19;74,2885
Acc_C-original-15;72,6862
Acc_C-bar-10;70,6405
Acc_all-ex-pixelwise-noise-24;70,0255
RMSCE_C;0,1744
Combined_Noise;94,3443
