;config_512_avg
Standard_Acc;65,3360
RMSCE;0,2199
gaussian_noise;23,0112
shot_noise;22,4840
impulse_noise;18,8908
defocus_blur;22,3464
glass_blur;22,3488
motion_blur;27,9556
zoom_blur;25,1420
snow;30,5740
frost;32,1180
fog;42,0888
brightness;56,3056
contrast;44,4188
elastic_transform;34,4916
pixelate;33,1052
jpeg_compression;39,6696
speckle_noise;30,5224
gaussian_blur;26,8940
spatter;40,5836
saturate;54,3152
blue_noise_sample;35,1344
brownish_noise;53,2720
caustic_refraction;45,1140
checkerboard_cutout;40,3892
cocentric_sine_waves;12,4132
inverse_sparkles;16,2472
perlin_noise;52,3656
plasma_noise;34,7200
single_frequency_greyscale;18,1420
sparkles;50,3944
Acc_C-all-19;33,0140
Acc_C-original-15;31,6634
Acc_C-bar-10;35,8192
Acc_all-ex-pixelwise-noise-24;35,6423
RMSCE_C;0,1129
Combined_Noise;64,3040
