;config_403_avg;config_403_std;config_403_run_0;config_403_run_1;config_403_run_2;config_403_run_3;config_403_run_4
Standard_Acc;70,9190;0,1153;70,9750;71,1000;70,7750;70,9250;70,8200
RMSCE;0,0217;0,0039;0,0251;0,0237;0,0142;0,0238;0,0218
gaussian_noise;50,9000;2,8355;55,2000;50,1000;47,4000;48,8000;53,0000
shot_noise;54,3400;2,1266;56,6000;56,9000;51,6000;52,5000;54,1000
impulse_noise;52,4400;1,7488;53,3000;53,4000;49,4000;51,7000;54,4000
defocus_blur;55,3400;1,0707;56,6000;54,9000;56,3000;55,3000;53,6000
glass_blur;34,3200;0,9600;34,7000;35,1000;33,8000;35,3000;32,7000
motion_blur;58,6200;1,8777;59,4000;60,5000;57,5000;60,2000;55,5000
zoom_blur;48,7200;1,5039;48,5000;50,0000;46,2000;50,5000;48,4000
snow;61,5400;2,7775;61,1000;60,9000;56,9000;64,6000;64,2000
frost;62,1400;1,2955;64,2000;61,6000;62,4000;62,3000;60,2000
fog;64,4400;1,7130;61,6000;63,7000;64,9000;66,7000;65,3000
brightness;64,1400;1,1074;64,7000;62,1000;64,4000;64,1000;65,4000
contrast;54,2000;1,5086;51,8000;53,1000;55,0000;55,3000;55,8000
elastic_transform;59,5200;1,7394;62,5000;59,3000;57,2000;58,7000;59,9000
pixelate;63,6400;2,0215;67,2000;61,2000;64,2000;62,6000;63,0000
jpeg_compression;64,7200;1,6363;66,8000;65,5000;61,9000;65,2000;64,2000
speckle_noise;50,8200;2,5849;50,4000;53,8000;46,3000;50,8000;52,8000
gaussian_blur;49,7800;2,6999;48,6000;54,2000;46,3000;51,2000;48,6000
spatter;58,5400;1,0781;59,0000;56,7000;59,3000;58,0000;59,7000
saturate;59,8400;0,8686;58,6000;61,2000;60,1000;60,0000;59,3000
blue_noise_sample;52,5000;1,3565;50,1000;52,1000;54,1000;53,1000;53,1000
brownish_noise;54,7200;1,2123;54,4000;55,4000;53,8000;56,7000;53,3000
caustic_refraction;38,5400;1,8885;38,2000;35,8000;39,2000;41,6000;37,9000
checkerboard_cutout;46,1000;1,4325;44,6000;47,9000;47,7000;45,6000;44,7000
cocentric_sine_waves;32,6600;0,8333;31,2000;32,4000;32,8000;33,5000;33,4000
inverse_sparkles;26,8000;1,4422;28,6000;28,3000;26,5000;24,9000;25,7000
perlin_noise;61,0600;0,7473;61,2000;60,1000;62,2000;60,4000;61,4000
plasma_noise;30,2600;0,9024;29,4000;29,2000;31,7000;30,6000;30,4000
single_frequency_greyscale;30,3200;2,0193;27,5000;31,6000;29,8000;33,4000;29,3000
sparkles;63,0400;1,2909;63,6000;61,6000;64,5000;64,1000;61,4000
Acc_C-all-19;56,2105;0,7308;56,8842;56,5368;54,7947;56,5158;56,3211
Acc_C-original-15;56,6013;0,7607;57,6133;56,5533;55,2733;56,9200;56,6467
Acc_C-bar-10;43,6000;0,6094;42,8800;43,4400;44,2300;44,3900;43,0600
Acc_all-ex-pixelwise-noise-24;51,7917;0,4095;51,8333;51,7625;51,4417;52,5333;51,3875
RMSCE_C;0,0969;0,0030;0,0989;0,0993;0,0930;0,0934;0,0998
Combined_Noise;64,9410;0,2044;64,8750;65,2900;64,8800;64,9950;64,6650
