;config_408_avg;config_408_std;config_408_run_0;config_408_run_1;config_408_run_2;config_408_run_3;config_408_run_4
Standard_Acc;71,2640;0,2434;71,1600;71,3500;70,8900;71,2850;71,6350
RMSCE;0,0200;0,0043;0,0235;0,0147;0,0224;0,0244;0,0149
gaussian_noise;51,0000;2,1024;54,2000;49,4000;50,3000;48,5000;52,6000
shot_noise;53,0800;0,9704;54,1000;52,7000;52,8000;51,6000;54,2000
impulse_noise;51,1200;1,5651;51,1000;53,5000;49,6000;49,3000;52,1000
defocus_blur;55,8400;1,4651;56,8000;53,3000;56,1000;55,4000;57,6000
glass_blur;33,2600;1,2076;34,7000;31,2000;34,1000;32,8000;33,5000
motion_blur;57,6000;1,0881;57,1000;59,1000;58,7000;56,6000;56,5000
zoom_blur;47,9200;1,2156;45,7000;48,4000;48,1000;49,4000;48,0000
snow;60,7400;2,9076;59,5000;57,4000;58,6000;63,0000;65,2000
frost;62,0600;1,0519;64,0000;61,6000;61,3000;62,3000;61,1000
fog;63,9600;1,5957;62,6000;62,7000;66,2000;62,7000;65,6000
brightness;63,6600;2,1247;62,8000;61,9000;64,9000;61,5000;67,2000
contrast;54,8800;1,9702;51,8000;54,0000;55,2000;55,6000;57,8000
elastic_transform;59,3200;1,7770;60,5000;58,2000;59,6000;56,6000;61,7000
pixelate;61,9200;2,1170;65,2000;58,7000;62,7000;61,1000;61,9000
jpeg_compression;64,7400;1,0519;66,0000;65,1000;62,8000;64,9000;64,9000
speckle_noise;50,8200;1,6327;51,3000;51,7000;49,5000;48,5000;53,1000
gaussian_blur;49,5200;2,4620;45,4000;49,5000;48,9000;51,0000;52,8000
spatter;59,3000;1,7933;61,4000;56,2000;59,9000;58,6000;60,4000
saturate;59,4200;1,0980;59,2000;61,3000;57,9000;59,1000;59,6000
blue_noise_sample;52,1400;1,1289;50,7000;51,8000;54,0000;51,5000;52,7000
brownish_noise;54,6400;0,7915;55,6000;54,7000;53,2000;54,7000;55,0000
caustic_refraction;38,3600;1,3574;37,7000;36,9000;37,4000;40,6000;39,2000
checkerboard_cutout;46,4200;0,9826;47,0000;47,9000;45,4000;46,5000;45,3000
cocentric_sine_waves;30,7000;1,5440;29,1000;30,5000;33,1000;29,1000;31,7000
inverse_sparkles;26,7800;1,4048;28,5000;28,0000;26,4000;24,5000;26,5000
perlin_noise;61,5400;1,3276;62,7000;59,0000;62,3000;62,2000;61,5000
plasma_noise;29,7600;0,8405;30,7000;28,3000;29,4000;30,2000;30,2000
single_frequency_greyscale;30,0800;1,1754;28,1000;30,6000;30,2000;31,7000;29,8000
sparkles;63,1200;0,8658;62,8000;62,6000;63,3000;64,7000;62,2000
Acc_C-all-19;55,7979;0,7502;55,9684;55,0474;55,6421;55,1842;57,1474
Acc_C-original-15;56,0733;0,7704;56,4067;55,1467;56,0667;55,4200;57,3267
Acc_C-bar-10;43,3540;0,1856;43,2900;43,0300;43,4700;43,5700;43,4100
Acc_all-ex-pixelwise-noise-24;51,4808;0,5026;51,4542;50,7125;51,4875;51,4500;52,3000
RMSCE_C;0,0974;0,0049;0,0996;0,0946;0,1019;0,1017;0,0890
Combined_Noise;65,0170;0,3635;65,1650;65,3100;65,2200;64,3050;65,0850
