;config_375_avg;config_375_std;config_375_run_0;config_375_run_1;config_375_run_2
Standard_Acc;70,5150;0,2108;70,2250;70,6000;70,7200
RMSCE;0,0185;0,0036;0,0160;0,0158;0,0236
gaussian_noise;51,2000;2,9132;55,3000;48,8000;49,5000
shot_noise;52,3333;1,2120;53,6000;52,7000;50,7000
impulse_noise;51,9667;1,6007;53,8000;52,2000;49,9000
defocus_blur;54,4667;0,5437;54,3000;55,2000;53,9000
glass_blur;32,8000;0,3559;33,0000;32,3000;33,1000
motion_blur;59,3000;0,3266;59,3000;58,9000;59,7000
zoom_blur;46,1000;0,7789;46,0000;47,1000;45,2000
snow;58,8667;1,3072;60,5000;58,8000;57,3000
frost;61,0667;2,0532;62,1000;58,2000;62,9000
fog;63,0333;1,5326;61,9000;62,0000;65,2000
brightness;62,9667;1,3021;63,4000;61,2000;64,3000
contrast;54,0333;1,6214;51,8000;54,7000;55,6000
elastic_transform;58,3333;1,2552;60,1000;57,6000;57,3000
pixelate;61,3667;2,3977;64,0000;58,2000;61,9000
jpeg_compression;64,1333;0,8340;65,3000;63,4000;63,7000
speckle_noise;49,5000;1,0708;49,7000;50,7000;48,1000
gaussian_blur;47,9000;2,1970;44,9000;50,1000;48,7000
spatter;57,7667;1,9602;59,3000;55,0000;59,0000
saturate;60,5000;0,9899;59,8000;61,9000;59,8000
blue_noise_sample;53,2667;2,2395;52,1000;51,3000;56,4000
brownish_noise;52,8667;1,3888;51,2000;52,8000;54,6000
caustic_refraction;36,6667;1,5063;36,2000;35,1000;38,7000
checkerboard_cutout;44,6333;2,2647;42,3000;47,7000;43,9000
cocentric_sine_waves;33,2667;2,6949;34,2000;29,6000;36,0000
inverse_sparkles;26,8000;0,2160;26,6000;27,1000;26,7000
perlin_noise;61,1667;1,2257;61,1000;59,7000;62,7000
plasma_noise;28,0000;1,3491;26,9000;27,2000;29,9000
single_frequency_greyscale;31,1333;1,1146;29,9000;30,9000;32,6000
sparkles;62,3000;0,8524;61,8000;61,6000;63,5000
Acc_C-all-19;55,1386;0,4160;55,6895;54,6842;55,0421
Acc_C-original-15;55,4644;0,6342;56,2933;54,7533;55,3467
Acc_C-bar-10;43,0100;1,0540;42,2300;42,3000;44,5000
Acc_all-ex-pixelwise-noise-24;50,8111;0,5194;50,6625;50,2625;51,5083
RMSCE_C;0,0922;0,0012;0,0905;0,0934;0,0926
Combined_Noise;64,3317;0,2001;64,3250;64,0900;64,5800
