;config_239_avg
Standard_Acc;73,5000
RMSCE;0,0222
gaussian_noise;31,2660
shot_noise;36,7460
impulse_noise;34,8580
defocus_blur;32,1060
glass_blur;28,4540
motion_blur;41,7000
zoom_blur;37,2500
snow;45,7980
frost;48,7540
fog;46,8180
brightness;57,3840
contrast;23,8600
elastic_transform;46,9380
pixelate;56,8380
jpeg_compression;53,5380
speckle_noise;30,0660
gaussian_blur;33,1580
spatter;50,8100
saturate;51,6080
blue_noise_sample;51,6960
brownish_noise;54,4660
caustic_refraction;36,4360
checkerboard_cutout;45,8540
cocentric_sine_waves;32,3920
inverse_sparkles;30,0620
perlin_noise;60,2620
plasma_noise;28,9540
single_frequency_greyscale;29,1700
sparkles;65,0000
Acc_C-all-19;41,4711
Acc_C-original-15;41,4872
Acc_C-bar-10;43,4292
Acc_all-ex-pixelwise-noise-24;43,2338
RMSCE_C;0,1280
Combined_Noise;56,2300
