;config_212_avg;config_212_std;config_212_run_0;config_212_run_1;config_212_run_2
Standard_Acc;58,0200;0,7777;58,2300;58,8500;56,9800
RMSCE;0,0547;0,0054;0,0561;0,0475;0,0605
gaussian_noise;19,9053;0,8629;20,5580;20,4720;18,6860
shot_noise;25,0560;1,0311;26,2240;25,2280;23,7160
impulse_noise;22,5327;0,7650;22,7900;23,3140;21,4940
defocus_blur;22,2700;1,7008;22,4200;20,1160;24,2740
glass_blur;15,9027;0,4296;16,4940;15,4860;15,7280
motion_blur;31,1047;1,0409;32,1320;29,6780;31,5040
zoom_blur;24,5080;1,6920;24,7680;22,3180;26,4380
snow;33,9513;0,5948;34,6520;34,0040;33,1980
frost;37,2953;1,1159;38,6000;37,4120;35,8740
fog;38,2500;1,1105;39,1560;38,9080;36,6860
brightness;53,4580;0,1600;53,6640;53,4360;53,2740
contrast;16,0260;0,7089;16,5560;16,4980;15,0240
elastic_transform;36,3207;1,0207;37,5640;35,0640;36,3340
pixelate;48,7127;0,4278;48,8780;48,1260;49,1340
jpeg_compression;39,8247;0,8771;41,0440;39,0180;39,4120
speckle_noise;19,4227;0,9073;20,4540;19,5680;18,2460
gaussian_blur;22,9433;1,6482;22,8860;20,9540;24,9900
spatter;42,4533;0,4299;42,7340;42,7800;41,8460
saturate;48,0107;0,7487;48,9780;47,9000;47,1540
blue_noise_sample;33,8467;1,0188;33,9420;35,0440;32,5540
brownish_noise;29,6607;0,5225;29,7900;30,2260;28,9660
caustic_refraction;26,0093;0,9922;26,2380;27,0940;24,6960
checkerboard_cutout;32,5753;1,2590;32,0720;34,3060;31,3480
cocentric_sine_waves;20,9073;0,9941;21,1820;21,9640;19,5760
inverse_sparkles;15,7527;0,5592;16,0120;16,2700;14,9760
perlin_noise;45,8207;0,9038;46,3200;46,5900;44,5520
plasma_noise;13,9420;0,5114;13,2200;14,3400;14,2660
single_frequency_greyscale;18,4487;0,4842;18,5540;18,9820;17,8100
sparkles;44,0380;1,1441;42,7940;45,5560;43,7640
Acc_C-all-19;31,4709;0,4727;32,1343;31,0674;31,2112
Acc_C-original-15;31,0079;0,4916;31,7000;30,6052;30,7184
Acc_C-bar-10;28,1001;0,7319;28,0124;29,0372;27,2508
Acc_all-ex-pixelwise-noise-24;31,5911;0,2723;31,9462;31,5428;31,2843
RMSCE_C;0,2145;0,0068;0,2200;0,2048;0,2187
Combined_Noise;43,6000;1,2430;43,9000;44,9500;41,9500
