;config_246_avg
Standard_Acc;73,0700
RMSCE;0,0191
gaussian_noise;32,5880
shot_noise;36,8320
impulse_noise;35,2840
defocus_blur;29,5060
glass_blur;28,1280
motion_blur;41,1020
zoom_blur;34,5080
snow;47,8560
frost;50,0200
fog;47,2800
brightness;57,7820
contrast;24,0020
elastic_transform;46,3040
pixelate;57,6480
jpeg_compression;52,9600
speckle_noise;29,2500
gaussian_blur;30,3400
spatter;50,4080
saturate;52,1560
blue_noise_sample;50,9560
brownish_noise;54,8200
caustic_refraction;38,2280
checkerboard_cutout;46,1480
cocentric_sine_waves;35,4740
inverse_sparkles;29,0940
perlin_noise;61,4400
plasma_noise;28,6840
single_frequency_greyscale;31,9380
sparkles;64,9720
Acc_C-all-19;41,2607
Acc_C-original-15;41,4533
Acc_C-bar-10;44,1754
Acc_all-ex-pixelwise-noise-24;43,3666
RMSCE_C;0,1247
Combined_Noise;58,1400
