;config_481_avg
Standard_Acc;63,8800
RMSCE;0,0693
gaussian_noise;27,0940
shot_noise;30,7340
impulse_noise;32,8480
defocus_blur;18,9940
glass_blur;18,3760
motion_blur;24,8480
zoom_blur;21,4980
snow;28,0920
frost;30,9820
fog;24,6560
brightness;34,3220
contrast;8,8500
elastic_transform;30,2180
pixelate;42,2120
jpeg_compression;39,3960
speckle_noise;26,3960
gaussian_blur;19,8700
spatter;33,4400
saturate;29,0020
blue_noise_sample;41,9960
brownish_noise;43,0420
caustic_refraction;24,4200
checkerboard_cutout;37,8340
cocentric_sine_waves;23,7380
inverse_sparkles;25,8060
perlin_noise;43,8800
plasma_noise;19,8940
single_frequency_greyscale;17,9320
sparkles;54,0940
Acc_C-all-19;27,4646
Acc_C-original-15;27,5413
Acc_C-bar-10;33,2636
Acc_all-ex-pixelwise-noise-24;28,9748
RMSCE_C;0,2584
Combined_Noise;59,5000
