;config_278_avg
Standard_Acc;72,1300
RMSCE;0,0192
gaussian_noise;32,5880
shot_noise;36,6460
impulse_noise;35,1240
defocus_blur;28,1240
glass_blur;25,7900
motion_blur;37,7060
zoom_blur;32,3260
snow;44,9680
frost;47,0440
fog;43,6940
brightness;57,1400
contrast;20,5460
elastic_transform;43,3180
pixelate;56,9320
jpeg_compression;50,6780
speckle_noise;29,6480
gaussian_blur;28,9820
spatter;50,2740
saturate;49,8460
blue_noise_sample;51,1860
brownish_noise;55,4220
caustic_refraction;35,6320
checkerboard_cutout;47,3800
cocentric_sine_waves;32,7440
inverse_sparkles;29,1900
perlin_noise;59,0560
plasma_noise;30,1000
single_frequency_greyscale;30,6940
sparkles;64,3720
Acc_C-all-19;39,5460
Acc_C-original-15;39,5083
Acc_C-bar-10;43,5776
Acc_all-ex-pixelwise-noise-24;41,7482
RMSCE_C;0,1255
Combined_Noise;55,9200
