;config_142_avg;config_142_std;config_142_run_0;config_142_run_1;config_142_run_2;config_142_run_3;config_142_run_4
Standard_Acc;72,3230;0,1517;72,1100;72,2450;72,4350;72,2800;72,5450
RMSCE;0,0266;0,0082;0,0398;0,0157;0,0307;0,0220;0,0249
gaussian_noise;26,7000;1,5245;26,0000;27,1000;25,4000;25,5000;29,5000
shot_noise;31,3800;1,3393;31,2000;34,0000;30,8000;30,4000;30,5000
impulse_noise;21,1200;1,8313;20,3000;20,7000;19,0000;21,1000;24,5000
defocus_blur;38,5800;2,6339;39,1000;37,1000;35,5000;37,9000;43,3000
glass_blur;21,3000;1,0354;20,5000;21,9000;19,7000;21,9000;22,5000
motion_blur;48,0400;1,4094;49,7000;46,9000;47,2000;49,8000;46,6000
zoom_blur;35,8200;2,5246;37,5000;36,0000;30,9000;37,1000;37,6000
snow;57,3400;2,0215;56,4000;57,6000;54,0000;59,0000;59,7000
frost;58,9800;1,7554;62,1000;58,5000;57,1000;59,5000;57,7000
fog;57,9000;1,5218;57,6000;56,9000;57,2000;56,9000;60,9000
brightness;58,3000;1,2182;57,6000;56,5000;59,6000;58,1000;59,7000
contrast;30,6200;1,1788;29,3000;31,2000;30,3000;29,7000;32,6000
elastic_transform;55,0000;2,5581;58,2000;52,6000;52,6000;53,6000;58,0000
pixelate;61,5000;0,7183;62,2000;60,9000;62,5000;60,7000;61,2000
jpeg_compression;64,5800;1,1617;65,7000;65,6000;62,5000;64,3000;64,8000
speckle_noise;23,2400;2,1313;20,3000;22,3000;24,2000;22,7000;26,7000
gaussian_blur;27,3800;2,0331;26,8000;28,5000;23,9000;27,7000;30,0000
spatter;58,1000;1,9016;57,1000;55,4000;59,6000;57,6000;60,8000
saturate;54,6000;0,6693;53,7000;55,5000;55,2000;54,1000;54,5000
blue_noise_sample;44,0800;3,3145;40,2000;40,4000;47,6000;44,4000;47,8000
brownish_noise;53,0600;1,3245;53,2000;54,5000;51,7000;51,4000;54,5000
caustic_refraction;36,2200;1,5118;37,8000;34,1000;34,8000;37,7000;36,7000
checkerboard_cutout;39,4400;0,5352;40,1000;39,7000;39,6000;38,5000;39,3000
cocentric_sine_waves;30,2200;0,7194;30,6000;29,0000;29,9000;31,1000;30,5000
inverse_sparkles;26,7000;1,1916;28,8000;25,5000;26,7000;26,9000;25,6000
perlin_noise;59,6800;1,5626;59,4000;57,6000;60,8000;58,6000;62,0000
plasma_noise;20,4600;1,1218;19,7000;19,0000;21,5000;22,0000;20,1000
single_frequency_greyscale;26,5400;0,9287;27,4000;26,8000;25,5000;25,4000;27,6000
sparkles;63,5200;1,6228;65,6000;60,6000;63,8000;64,0000;63,6000
Acc_C-all-19;43,7095;0,9166;43,7526;43,4316;42,4842;43,5579;45,3211
Acc_C-original-15;44,4773;0,9702;44,8933;44,2333;42,9533;44,3667;45,9400
Acc_C-bar-10;39,9920;0,6849;40,2800;38,7200;40,1900;40,0000;40,7700
Acc_all-ex-pixelwise-noise-24;45,1617;0,7339;45,6708;44,4958;44,2542;45,1458;46,2417
RMSCE_C;0,1586;0,0090;0,1665;0,1639;0,1673;0,1483;0,1470
Combined_Noise;53,7010;0,5507;53,0300;53,0900;53,8200;54,3150;54,2500
