;config_380_avg;config_380_std;config_380_run_0;config_380_run_1;config_380_run_2;config_380_run_3;config_380_run_4
Standard_Acc;71,9980;0,2474;71,7400;71,9650;71,8150;72,0200;72,4500
RMSCE;0,0316;0,0035;0,0341;0,0347;0,0287;0,0344;0,0262
gaussian_noise;49,1800;1,3848;50,5000;48,3000;46,9000;49,8000;50,4000
shot_noise;52,8200;1,0127;52,2000;52,8000;51,4000;53,3000;54,4000
impulse_noise;50,5000;2,9292;50,5000;53,9000;45,1000;51,2000;51,8000
defocus_blur;54,0400;1,8736;56,6000;53,0000;51,2000;55,4000;54,0000
glass_blur;31,8000;0,2828;31,7000;32,1000;31,3000;31,9000;32,0000
motion_blur;56,5000;2,2654;57,8000;58,5000;58,6000;54,5000;53,1000
zoom_blur;48,4600;1,7477;48,8000;49,2000;45,1000;50,2000;49,0000
snow;61,1400;2,4614;60,3000;58,6000;58,7000;63,7000;64,4000
frost;62,0800;1,2073;64,1000;62,0000;62,1000;61,9000;60,3000
fog;64,3200;0,8328;63,8000;63,2000;64,5000;64,4000;65,7000
brightness;64,6600;1,7013;64,0000;62,9000;67,4000;63,2000;65,8000
contrast;52,8400;2,4005;48,4000;54,6000;52,2000;54,7000;54,3000
elastic_transform;60,3000;1,3609;61,9000;60,4000;58,3000;59,3000;61,6000
pixelate;62,1800;1,6327;64,1000;59,3000;61,9000;62,3000;63,3000
jpeg_compression;65,3600;0,9851;66,4000;65,8000;63,9000;64,5000;66,2000
speckle_noise;49,8800;1,5613;48,4000;51,6000;47,7000;50,4000;51,3000
gaussian_blur;46,9400;2,0264;44,9000;49,2000;44,9000;49,5000;46,2000
spatter;58,8600;1,6716;58,7000;57,1000;61,1000;57,0000;60,4000
saturate;59,3400;1,1447;59,6000;61,1000;57,6000;59,6000;58,8000
blue_noise_sample;50,4800;0,5741;50,5000;49,4000;50,7000;51,1000;50,7000
brownish_noise;54,9600;0,6468;54,4000;54,9000;54,5000;56,2000;54,8000
caustic_refraction;36,5600;1,6740;37,8000;35,5000;34,7000;39,2000;35,6000
checkerboard_cutout;46,2600;0,9749;44,6000;47,6000;46,7000;46,2000;46,2000
cocentric_sine_waves;29,6000;1,4711;29,0000;28,2000;31,6000;31,1000;28,1000
inverse_sparkles;27,3600;1,3749;29,5000;28,4000;26,2000;25,9000;26,8000
perlin_noise;60,4800;1,1338;60,0000;60,2000;61,3000;58,8000;62,1000
plasma_noise;30,4800;1,1990;29,2000;29,1000;30,6000;32,2000;31,3000
single_frequency_greyscale;27,4800;0,9368;27,2000;28,7000;26,2000;28,4000;26,9000
sparkles;62,7000;1,3928;63,4000;60,5000;63,6000;64,3000;61,7000
Acc_C-all-19;55,3263;0,5919;55,4053;55,4526;54,2053;55,6211;55,9474
Acc_C-original-15;55,7453;0,6361;56,0733;55,6400;54,5733;56,0200;56,4200
Acc_C-bar-10;42,6360;0,3736;42,5600;42,2500;42,6100;43,3400;42,4200
Acc_all-ex-pixelwise-noise-24;51,0292;0,2904;51,0917;50,8375;50,5917;51,4333;51,1917
RMSCE_C;0,1168;0,0045;0,1198;0,1211;0,1204;0,1122;0,1106
Combined_Noise;65,8020;0,5061;65,4100;66,0700;65,0300;66,4200;66,0800
