;config_257_avg
Standard_Acc;72,2200
RMSCE;0,0297
gaussian_noise;30,7620
shot_noise;36,4180
impulse_noise;35,1440
defocus_blur;27,8680
glass_blur;25,8440
motion_blur;39,8100
zoom_blur;32,5580
snow;40,8280
frost;47,3160
fog;43,9880
brightness;56,9980
contrast;20,6220
elastic_transform;44,2840
pixelate;54,9700
jpeg_compression;50,3060
speckle_noise;30,6880
gaussian_blur;28,5700
spatter;48,8940
saturate;50,8640
blue_noise_sample;49,0820
brownish_noise;54,9300
caustic_refraction;34,4720
checkerboard_cutout;45,5460
cocentric_sine_waves;30,5440
inverse_sparkles;28,6960
perlin_noise;58,1300
plasma_noise;29,5520
single_frequency_greyscale;27,8920
sparkles;64,4800
Acc_C-all-19;39,3017
Acc_C-original-15;39,1811
Acc_C-bar-10;42,3324
Acc_all-ex-pixelwise-noise-24;41,1651
RMSCE_C;0,1602
Combined_Noise;57,2900
