;config_574_avg
Standard_Acc;98,3848
RMSCE;0,0668
gaussian_noise;84,6556
shot_noise;95,2811
impulse_noise;87,9335
defocus_blur;97,7831
glass_blur;92,1536
motion_blur;96,8250
zoom_blur;97,6801
snow;88,4165
frost;91,9002
fog;91,1401
brightness;97,6247
contrast;97,7514
elastic_transform;96,3579
pixelate;97,5534
jpeg_compression;93,9826
speckle_noise;96,7854
gaussian_blur;97,3555
spatter;94,3072
saturate;95,7641
blue_noise;91,2272
brownish_noise;77,1813
checkerboard_cutout;80,5463
circular_motion_blur;98,2660
inverse_sparkles;69,3587
lines;78,2898
pinch_and_twirl;95,6690
ripple;96,3500
sparkles;80,3959
transverse_chromatic_abberation;95,6374
Acc_C-all-19;94,2764
Acc_C-original-15;93,8026
Acc_C-bar-10;86,2922
Acc_all-ex-pixelwise-noise-24;91,5954
RMSCE_C;0,0638
Combined_Noise;89,7625
