;0;10;20;30;40
0;96,8;96,78;96,66;96,54;96,42
10;96,7;96,71;96,49;96,6;96,46
20;96,64;96,76;96,53;96,56;96,35
30;96,67;96,61;96,5;96,45;96,38
40;96,75;96,59;96,51;96,49;96,29
50;96,73;96,62;96,51;96,46;96,26
60;96,69;96,58;96,53;96,34;96,27
