;0;10;20;30;40
0;86,94;90,59;90,93;91,13;91,19
10;89,96;90,96;91,02;91,45;91,24
20;90,35;91,38;91,23;91,49;91,37
30;90,49;91,26;91,3;91,26;91,4
40;90,97;91,36;91,55;91,51;91,6
50;90,92;91,58;91,32;91,54;91,36
60;91,24;91,34;91,52;91,4;91,38
