;config_10_avg
Standard_Acc;96,4900
RMSCE;0,0508
gaussian_noise;85,0940
shot_noise;88,4380
impulse_noise;88,0480
defocus_blur;94,0820
glass_blur;86,8280
motion_blur;90,8700
zoom_blur;92,9740
snow;91,8800
frost;92,7500
fog;93,9240
brightness;95,9220
contrast;94,3940
elastic_transform;91,5880
pixelate;87,0140
jpeg_compression;85,2400
speckle_noise;88,8540
gaussian_blur;92,9200
spatter;92,7400
saturate;95,0800
blue_noise;86,3480
brownish_noise;81,0180
checkerboard_cutout;88,7440
circular_motion_blur;93,0020
inverse_sparkles;77,8720
lines;80,3380
pinch_and_twirl;93,7480
ripple;85,4660
sparkles;87,7140
transverse_chromatic_abberation;80,7320
Acc_C-all-19;90,9811
Acc_C-original-15;90,6031
Acc_C-bar-10;85,4982
Acc_all-ex-pixelwise-noise-24;89,4517
RMSCE_C;0,0418
Combined_Noise;89,7200
