;config_9_avg
Standard_Acc;96,4900
RMSCE;0,0481
gaussian_noise;67,8020
shot_noise;75,6220
impulse_noise;84,9060
defocus_blur;93,7040
glass_blur;79,6360
motion_blur;89,9660
zoom_blur;92,2760
snow;90,3420
frost;88,0460
fog;93,7180
brightness;95,9800
contrast;94,7880
elastic_transform;90,0520
pixelate;81,1820
jpeg_compression;82,8280
speckle_noise;77,8920
gaussian_blur;92,6440
spatter;92,6000
saturate;95,0280
blue_noise;90,2940
brownish_noise;78,6880
checkerboard_cutout;85,5300
circular_motion_blur;93,0600
inverse_sparkles;71,2600
lines;79,2440
pinch_and_twirl;92,3580
ripple;83,9920
sparkles;86,2980
transverse_chromatic_abberation;77,1080
Acc_C-all-19;87,3164
Acc_C-original-15;86,7232
Acc_C-bar-10;83,7832
Acc_all-ex-pixelwise-noise-24;87,5137
RMSCE_C;0,0581
Combined_Noise;85,3900
