;config_424_avg;config_424_std;config_424_run_0;config_424_run_1;config_424_run_2;config_424_run_3;config_424_run_4
Standard_Acc;38,7560;47,4662;0,0000;0,0000;0,0000;96,9300;96,8500
RMSCE;0,0249;0,0306;0,0000;0,0000;0,0000;0,0670;0,0574
gaussian_noise;32,9200;40,3194;0,0000;0,0000;0,0000;82,7000;81,9000
shot_noise;33,7200;41,3008;0,0000;0,0000;0,0000;85,0000;83,6000
impulse_noise;34,8200;42,6456;0,0000;0,0000;0,0000;87,1000;87,0000
defocus_blur;37,6200;46,0762;0,0000;0,0000;0,0000;93,5000;94,6000
glass_blur;34,0600;41,7151;0,0000;0,0000;0,0000;85,4000;84,9000
motion_blur;36,4000;44,5823;0,0000;0,0000;0,0000;90,4000;91,6000
zoom_blur;37,0800;45,4137;0,0000;0,0000;0,0000;92,9000;92,5000
snow;36,5000;44,7033;0,0000;0,0000;0,0000;91,1000;91,4000
frost;37,6200;46,0828;0,0000;0,0000;0,0000;92,7000;95,4000
fog;37,2400;45,6097;0,0000;0,0000;0,0000;93,3000;92,9000
brightness;38,5600;47,2262;0,0000;0,0000;0,0000;96,3000;96,5000
contrast;37,7400;46,2227;0,0000;0,0000;0,0000;93,9000;94,8000
elastic_transform;36,2000;44,3359;0,0000;0,0000;0,0000;90,3000;90,7000
pixelate;33,3600;40,8575;0,0000;0,0000;0,0000;83,3000;83,5000
jpeg_compression;33,5000;41,0296;0,0000;0,0000;0,0000;83,4000;84,1000
speckle_noise;34,4400;42,1804;0,0000;0,0000;0,0000;86,3000;85,9000
gaussian_blur;36,3600;44,5321;0,0000;0,0000;0,0000;91,2000;90,6000
spatter;37,0600;45,3891;0,0000;0,0000;0,0000;92,8000;92,5000
saturate;37,9200;46,4425;0,0000;0,0000;0,0000;94,6000;95,0000
blue_noise;35,1200;43,0147;0,0000;0,0000;0,0000;88,4000;87,2000
brownish_noise;31,9000;39,0774;0,0000;0,0000;0,0000;78,5000;81,0000
checkerboard_cutout;35,7400;43,7898;0,0000;0,0000;0,0000;87,4000;91,3000
circular_motion_blur;37,0400;45,3661;0,0000;0,0000;0,0000;92,0000;93,2000
inverse_sparkles;29,4600;36,1260;0,0000;0,0000;0,0000;76,5000;70,8000
lines;31,6200;38,7265;0,0000;0,0000;0,0000;78,9000;79,2000
pinch_and_twirl;37,4200;45,8301;0,0000;0,0000;0,0000;93,7000;93,4000
ripple;33,7600;41,3491;0,0000;0,0000;0,0000;83,8000;85,0000
sparkles;34,8800;42,7191;0,0000;0,0000;0,0000;87,3000;87,1000
transverse_chromatic_abberation;32,3600;39,6457;0,0000;0,0000;0,0000;82,5000;79,3000
Acc_C-all-19;35,9537;44,0341;0,0000;0,0000;0,0000;89,8000;89,9684
Acc_C-original-15;35,8227;43,8737;0,0000;0,0000;0,0000;89,4200;89,6933
Acc_C-bar-10;33,9300;41,5556;0,0000;0,0000;0,0000;84,9000;84,7500
Acc_all-ex-pixelwise-noise-24;35,4750;43,4479;0,0000;0,0000;0,0000;88,5708;88,8042
RMSCE_C;0,0280;0,0344;0,0000;0,0000;0,0000;0,0722;0,0680
Combined_Noise;35,4720;43,4442;0,0000;0,0000;0,0000;88,7200;88,6400
