;config_434_avg;config_434_std;config_434_run_0;config_434_run_1;config_434_run_2;config_434_run_3;config_434_run_4
Standard_Acc;38,6180;47,2972;0,0000;0,0000;0,0000;96,5000;96,5900
RMSCE;0,0220;0,0269;0,0000;0,0000;0,0000;0,0544;0,0554
gaussian_noise;34,0400;41,6904;0,0000;0,0000;0,0000;85,0000;85,2000
shot_noise;34,4600;42,2047;0,0000;0,0000;0,0000;86,2000;86,1000
impulse_noise;35,1600;43,0676;0,0000;0,0000;0,0000;86,8000;89,0000
defocus_blur;37,6400;46,0994;0,0000;0,0000;0,0000;94,1000;94,1000
glass_blur;35,0200;42,8957;0,0000;0,0000;0,0000;88,6000;86,5000
motion_blur;37,1000;45,4383;0,0000;0,0000;0,0000;93,0000;92,5000
zoom_blur;37,0200;45,3403;0,0000;0,0000;0,0000;92,8000;92,3000
snow;36,3800;44,5595;0,0000;0,0000;0,0000;91,8000;90,1000
frost;37,7800;46,2722;0,0000;0,0000;0,0000;93,9000;95,0000
fog;37,5200;45,9531;0,0000;0,0000;0,0000;93,4000;94,2000
brightness;38,3800;47,0058;0,0000;0,0000;0,0000;95,8000;96,1000
contrast;37,4200;45,8301;0,0000;0,0000;0,0000;93,4000;93,7000
elastic_transform;36,4800;44,6787;0,0000;0,0000;0,0000;91,2000;91,2000
pixelate;35,0800;42,9645;0,0000;0,0000;0,0000;87,4000;88,0000
jpeg_compression;33,8600;41,4713;0,0000;0,0000;0,0000;84,1000;85,2000
speckle_noise;34,8000;42,6268;0,0000;0,0000;0,0000;85,9000;88,1000
gaussian_blur;36,8600;45,1444;0,0000;0,0000;0,0000;92,4000;91,9000
spatter;37,2600;45,6388;0,0000;0,0000;0,0000;94,2000;92,1000
saturate;37,9200;46,4424;0,0000;0,0000;0,0000;94,7000;94,9000
blue_noise;34,8400;42,6769;0,0000;0,0000;0,0000;85,9000;88,3000
brownish_noise;31,0200;38,0012;0,0000;0,0000;0,0000;76,2000;78,9000
checkerboard_cutout;35,2400;43,1719;0,0000;0,0000;0,0000;86,5000;89,7000
circular_motion_blur;36,9400;45,2426;0,0000;0,0000;0,0000;92,0000;92,7000
inverse_sparkles;30,2200;37,0391;0,0000;0,0000;0,0000;77,8000;73,3000
lines;31,9000;39,0694;0,0000;0,0000;0,0000;79,8000;79,7000
pinch_and_twirl;37,3600;45,7566;0,0000;0,0000;0,0000;93,6000;93,2000
ripple;34,5400;42,3036;0,0000;0,0000;0,0000;86,8000;85,9000
sparkles;34,7800;42,6000;0,0000;0,0000;0,0000;87,8000;86,1000
transverse_chromatic_abberation;33,9000;41,5203;0,0000;0,0000;0,0000;84,2000;85,3000
Acc_C-all-19;36,3253;44,4892;0,0000;0,0000;0,0000;90,7737;90,8526
Acc_C-original-15;36,2227;44,3635;0,0000;0,0000;0,0000;90,5000;90,6133
Acc_C-bar-10;34,0740;41,7320;0,0000;0,0000;0,0000;85,0600;85,3100
Acc_all-ex-pixelwise-noise-24;35,7342;43,7653;0,0000;0,0000;0,0000;89,3958;89,2750
RMSCE_C;0,0264;0,0323;0,0000;0,0000;0,0000;0,0656;0,0664
Combined_Noise;35,8140;43,8630;0,0000;0,0000;0,0000;89,6100;89,4600
