;config_524_avg;config_524_std;config_524_run_0;config_524_run_1;config_524_run_2
Standard_Acc;96,0767;0,0386;96,0400;96,1300;96,0600
RMSCE;0,0640;0,0040;0,0669;0,0584;0,0668
gaussian_noise;85,4000;1,1576;84,3000;87,0000;84,9000
shot_noise;87,1667;1,0339;85,8000;88,3000;87,4000
impulse_noise;88,3333;1,2257;86,8000;89,8000;88,4000
defocus_blur;93,2000;0,8981;93,2000;94,3000;92,1000
glass_blur;86,7333;0,8380;85,6000;87,0000;87,6000
motion_blur;91,1000;0,2944;91,2000;91,4000;90,7000
zoom_blur;92,5667;0,3771;92,3000;93,1000;92,3000
snow;91,3333;1,0143;92,0000;92,1000;89,9000
frost;93,9333;0,7717;93,2000;95,0000;93,6000
fog;93,4333;0,0471;93,4000;93,5000;93,4000
brightness;95,0000;0,5657;94,6000;95,8000;94,6000
contrast;93,9333;0,8179;92,9000;94,9000;94,0000
elastic_transform;90,9667;0,7846;90,8000;92,0000;90,1000
pixelate;79,4333;2,0758;76,5000;81,0000;80,8000
jpeg_compression;85,7000;0,2160;85,4000;85,8000;85,9000
speckle_noise;89,8667;0,7364;89,0000;90,8000;89,8000
gaussian_blur;90,5000;0,2828;90,7000;90,7000;90,1000
spatter;93,6333;0,0943;93,7000;93,5000;93,7000
saturate;95,1333;0,1700;94,9000;95,3000;95,2000
blue_noise;89,4333;1,2763;91,1000;89,2000;88,0000
brownish_noise;77,0333;2,1792;77,4000;79,5000;74,2000
checkerboard_cutout;90,5333;0,4643;90,7000;89,9000;91,0000
circular_motion_blur;93,0333;1,0339;91,6000;93,5000;94,0000
inverse_sparkles;76,8000;0,5354;76,2000;77,5000;76,7000
lines;82,9333;1,1585;81,4000;84,2000;83,2000
pinch_and_twirl;92,5333;0,4643;92,7000;93,0000;91,9000
ripple;87,1333;1,1898;86,5000;86,1000;88,8000
sparkles;89,0000;1,5769;87,3000;91,1000;88,6000
transverse_chromatic_abberation;80,8667;1,0656;79,4000;81,3000;81,9000
Acc_C-all-19;90,3877;0,5477;89,8053;91,1211;90,2368
Acc_C-original-15;89,8822;0,6373;89,2000;90,7333;89,7133
Acc_C-bar-10;85,9300;0,4546;85,4300;86,5300;85,8300
Acc_all-ex-pixelwise-noise-24;89,0194;0,4789;88,4833;89,6458;88,9292
RMSCE_C;0,0677;0,0011;0,0678;0,0663;0,0689
Combined_Noise;90,4433;0,3623;89,9700;90,8500;90,5100
