;config_58_avg
Standard_Acc;96,7400
RMSCE;0,0441
gaussian_noise;91,7300
shot_noise;93,3660
impulse_noise;96,0960
defocus_blur;94,5680
glass_blur;84,1740
motion_blur;91,2160
zoom_blur;93,3180
snow;91,8420
frost;90,5440
fog;94,0560
brightness;96,3440
contrast;94,2980
elastic_transform;91,3300
pixelate;79,1180
jpeg_compression;85,8160
speckle_noise;93,2760
gaussian_blur;93,8080
spatter;94,3940
saturate;95,4020
blue_noise;94,4740
brownish_noise;81,4380
checkerboard_cutout;89,3020
circular_motion_blur;94,1440
inverse_sparkles;74,2220
lines;83,0480
pinch_and_twirl;93,5280
ripple;84,2280
sparkles;89,2240
transverse_chromatic_abberation;79,1060
Acc_C-all-19;91,8261
Acc_C-original-15;91,1877
Acc_C-bar-10;86,2714
Acc_all-ex-pixelwise-noise-24;89,1028
RMSCE_C;0,0446
Combined_Noise;93,6700
