;0;10;20;30;40;50
0;51,73;53,58;54,31;54,33;55,26;55,32
10;52,92;54,23;55,14;55,55;55,52;55,61
20;53,35;54,54;55,44;55,75;55,8;55,88
30;53,61;55,07;55,66;55,99;55,92;56,21
40;54,53;55,33;55,63;56,02;55,96;55,88
50;54,58;55,52;56,02;56,29;55,89;56,06
60;54,96;55,5;56,03;56,17;56,2;55,93
70;55;55,93;55,98;56,21;55,82;56,05
