;0;10;20;30;40
0;66,97;69,46;69,98;70,68;70,73
10;69,37;70,39;70,93;70,92;70,87
20;69,91;71;70,85;71,38;71,28
30;69,75;70,85;71,32;71,17;71,43
40;70,83;71,33;71,56;70,99;71,16
50;70,18;71,55;71,58;71,33;71,43
60;70,6;71,2;71,73;71,54;71,17
