train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_adversarial;valid_accuracy_swa;valid_accuracy_robust_swa;valid_accuracy_adversarial_swa
71,6280;1,7518;70,3600;1,8060;56,2759;43,7300;70,3600;56,2759;43,7300
71,5240;1,7590;70,8100;1,7749;51,4966;42,2500;70,8100;51,4966;42,2500
71,1820;1,7617;70,6300;1,7856;53,4621;40,3300;70,6300;53,4621;40,3300
71,6700;1,7441;71,0700;1,7408;53,9586;41,0200;71,0700;53,9586;41,0200
72,2920;1,7273;70,8500;1,7640;55,6621;42,5600;70,8500;55,6621;42,5600
72,3160;1,7266;69,9000;1,8054;53,5483;42,2200;69,9000;53,5483;42,2200
72,4840;1,7221;70,5200;1,7624;54,6517;41,3800;70,5200;54,6517;41,3800
72,1680;1,7239;71,4700;1,7589;55,0414;42,2700;71,4700;55,0414;42,2700
72,4200;1,7187;72,3500;1,7303;57,6655;43,9900;72,3500;57,6655;43,9900
73,0680;1,7034;71,4100;1,7542;53,7966;41,9400;71,4100;53,7966;41,9400
72,9900;1,7034;71,7300;1,7369;53,0966;42,6700;71,7300;53,0966;42,6700
73,1240;1,6977;72,3000;1,7068;53,0621;40,8900;72,3000;53,0621;40,8900
73,1240;1,6952;72,1000;1,7298;55,2414;43,0200;72,1000;55,2414;43,0200
73,6660;1,6827;72,3500;1,7196;54,4414;42,6700;72,3500;54,4414;42,6700
73,0200;1,7010;71,2000;1,7439;55,8793;42,8800;71,2000;55,8793;42,8800
73,6800;1,6776;72,5900;1,7236;56,1931;44,0000;72,5900;56,1931;44,0000
74,1260;1,6608;72,9100;1,6915;57,0655;45,1900;72,9100;57,0655;45,1900
74,1780;1,6576;72,2800;1,7119;56,2241;41,5200;72,2800;56,2241;41,5200
74,0280;1,6666;72,5300;1,6950;55,8103;40,5600;72,5300;55,8103;40,5600
74,3920;1,6571;73,3700;1,6868;56,4379;44,3500;73,3700;56,4379;44,3500
74,0120;1,6638;73,1000;1,6837;54,5276;43,0200;73,1000;54,5276;43,0200
74,5080;1,6419;73,1400;1,6676;55,6345;44,1300;73,1400;55,6345;44,1300
74,6920;1,6439;74,5200;1,6350;57,4172;41,2800;74,5200;57,4172;41,2800
74,5940;1,6411;73,2600;1,6861;55,0000;44,4700;73,2600;55,0000;44,4700
74,6280;1,6436;74,0500;1,6475;56,0379;43,7000;74,0500;56,0379;43,7000
75,3060;1,6249;74,7600;1,6286;57,4241;44,6900;74,7600;57,4241;44,6900
75,2400;1,6200;72,6200;1,6958;55,2828;41,8700;72,6200;55,2828;41,8700
75,5360;1,6129;73,5900;1,6715;56,3966;45,7200;73,5900;56,3966;45,7200
75,7820;1,6070;74,5100;1,6368;56,4207;45,2000;74,5100;56,4207;45,2000
75,7900;1,6051;72,8600;1,6953;55,8379;42,5700;72,8600;55,8379;42,5700
75,5360;1,6076;74,4100;1,6335;57,3621;44,0600;74,4100;57,3621;44,0600
75,8540;1,6012;74,4200;1,6225;58,1586;42,7900;74,4200;58,1586;42,7900
75,7740;1,5999;74,7100;1,6206;58,1690;42,9000;74,7100;58,1690;42,9000
76,0940;1,5949;74,0400;1,6463;58,8069;42,7800;74,0400;58,8069;42,7800
76,4020;1,5829;73,9200;1,6484;56,9310;44,1400;73,9200;56,9310;44,1400
76,1020;1,5859;74,9600;1,6222;56,9034;45,3900;74,9600;56,9034;45,3900
76,3960;1,5831;74,8200;1,6321;55,4897;45,9300;74,8200;55,4897;45,9300
76,6820;1,5733;75,0100;1,6228;55,5793;44,9900;75,0100;55,5793;44,9900
77,0300;1,5641;75,4200;1,6033;58,1862;43,4200;75,4200;58,1862;43,4200
77,0680;1,5616;75,7000;1,6006;58,1621;46,8600;75,7000;58,1621;46,8600
77,5360;1,5451;75,6400;1,6055;60,0310;47,2900;75,6400;60,0310;47,2900
77,3780;1,5529;76,1600;1,5737;58,0379;44,6500;76,1600;58,0379;44,6500
77,3700;1,5500;75,4100;1,5973;57,8000;44,3800;75,4100;57,8000;44,3800
77,4640;1,5473;76,0500;1,5843;57,9931;47,7100;76,0500;57,9931;47,7100
77,7700;1,5362;76,0100;1,5830;58,2621;45,4600;76,0100;58,2621;45,4600
77,8100;1,5355;75,8200;1,5772;58,9414;48,1500;75,8200;58,9414;48,1500
78,2760;1,5242;76,2200;1,5753;57,4414;45,8400;76,2200;57,4414;45,8400
77,8520;1,5309;76,0100;1,5683;58,7793;44,4800;76,0100;58,7793;44,4800
78,1880;1,5189;76,5300;1,5809;59,6276;47,3200;76,5300;59,6276;47,3200
78,2780;1,5116;75,4800;1,5811;59,2414;46,7000;75,4800;59,2414;46,7000
78,4740;1,5117;75,8400;1,5810;59,4828;47,1500;75,8400;59,4828;47,1500
78,6800;1,5101;76,2800;1,5670;60,5103;46,8200;76,2800;60,5103;46,8200
78,7220;1,5100;76,3500;1,5649;58,5069;46,1800;76,3500;58,5069;46,1800
79,0860;1,4934;76,2800;1,5722;57,5966;46,0000;76,2800;57,5966;46,0000
79,3840;1,4850;76,9700;1,5491;60,4034;47,4100;76,9700;60,4034;47,4100
79,1100;1,4912;77,0000;1,5149;59,3724;43,7500;77,0000;59,3724;43,7500
79,5920;1,4724;76,7800;1,5497;60,2379;46,2400;76,7800;60,2379;46,2400
79,2700;1,4838;76,9400;1,5362;58,8000;48,5300;76,9400;58,8000;48,5300
79,8340;1,4677;77,4700;1,5277;62,4552;48,1800;77,4700;62,4552;48,1800
79,3520;1,4765;77,1500;1,5524;61,2931;47,9900;77,1500;61,2931;47,9900
80,0960;1,4593;77,5500;1,5259;61,3690;48,3600;77,5500;61,3690;48,3600
80,1700;1,4583;77,8600;1,5185;60,5931;49,2300;77,8600;60,5931;49,2300
80,4000;1,4507;77,9200;1,5056;61,5034;47,5100;77,9200;61,5034;47,5100
80,2760;1,4484;77,7200;1,5092;60,8103;48,1000;77,7200;60,8103;48,1000
80,4900;1,4428;77,5900;1,5124;60,9207;47,2300;77,5900;60,9207;47,2300
80,9280;1,4314;78,1400;1,4885;62,5966;47,5900;78,1400;62,5966;47,5900
81,0640;1,4305;78,0600;1,5032;60,9552;49,6600;78,0600;60,9552;49,6600
81,2580;1,4222;78,4900;1,4999;63,1552;50,7100;78,4900;63,1552;50,7100
81,3480;1,4216;78,9100;1,4834;61,7448;49,9600;78,9100;61,7448;49,9600
81,0680;1,4230;78,4200;1,4819;61,0034;49,1900;78,4200;61,0034;49,1900
81,6260;1,4104;78,2200;1,4682;63,4759;47,1300;78,2200;63,4759;47,1300
81,8880;1,4032;78,5600;1,4786;60,5828;47,3900;78,5600;60,5828;47,3900
81,7860;1,4052;79,1200;1,4779;62,3379;49,3600;79,1200;62,3379;49,3600
81,8720;1,4047;79,0000;1,4858;62,3345;50,1500;79,0000;62,3345;50,1500
82,0860;1,3937;79,0100;1,4804;60,6931;49,8900;79,0100;60,6931;49,8900
81,8380;1,3997;79,0700;1,4661;61,9862;49,3000;79,0700;61,9862;49,3000
82,5200;1,3861;78,6600;1,4978;62,5655;50,3000;78,6600;62,5655;50,3000
82,8700;1,3712;79,0200;1,4698;62,4793;50,2500;79,0200;62,4793;50,2500
82,3620;1,3815;79,5800;1,4618;62,9862;50,5800;79,5800;62,9862;50,5800
82,8140;1,3753;79,5800;1,4732;63,5103;50,6000;79,5800;63,5103;50,6000
82,5700;1,3762;79,8200;1,4420;63,1034;50,1700;79,8200;63,1034;50,1700
82,9020;1,3710;79,5100;1,4636;61,3862;51,9000;79,5100;61,3862;51,9000
83,0220;1,3640;79,5700;1,4473;62,7931;51,1900;79,5700;62,7931;51,1900
83,2260;1,3573;79,8800;1,4427;64,5448;50,7700;79,8800;64,5448;50,7700
83,4620;1,3517;79,9500;1,4395;63,1276;49,5600;79,9500;63,1276;49,5600
83,0920;1,3609;80,1800;1,4331;63,2517;50,6500;80,1800;63,2517;50,6500
83,4620;1,3507;80,2000;1,4349;63,5621;51,6100;80,2000;63,5621;51,6100
83,4560;1,3527;79,9600;1,4308;63,6034;50,3500;79,9600;63,6034;50,3500
83,5360;1,3456;80,1200;1,4303;63,7448;51,0400;80,1200;63,7448;51,0400
83,6900;1,3379;80,3000;1,4205;63,5552;50,7900;80,3000;63,5552;50,7900
83,9060;1,3351;80,4900;1,4257;63,5552;50,7300;80,4900;63,5552;50,7300
84,1260;1,3294;80,4600;1,4225;64,0379;50,0700;80,4600;64,0379;50,0700
84,1720;1,3266;80,8200;1,4175;64,5241;51,1500;80,8200;64,5241;51,1500
84,0200;1,3293;80,8200;1,4151;64,7828;50,5800;80,8200;64,7828;50,5800
83,9880;1,3272;80,9100;1,4147;64,0103;50,9200;80,9100;64,0103;50,9200
84,4440;1,3224;80,7300;1,4089;64,0966;51,0900;80,7300;64,0966;51,0900
84,0120;1,3310;80,8600;1,4045;64,0862;50,0400;80,8600;64,0862;50,0400
84,3440;1,3233;80,8400;1,4108;64,7897;50,8900;80,8400;64,7897;50,8900
84,6560;1,3172;80,5100;1,4160;64,1414;51,1800;80,5100;64,1414;51,1800
84,6100;1,3135;80,6300;1,4134;64,3172;52,0500;80,6300;64,3172;52,0500
84,7580;1,3111;80,6900;1,4178;64,5034;52,5200;80,6900;64,5034;52,5200
84,7240;1,3066;80,9000;1,4119;64,4621;51,6700;80,9000;64,4621;51,6700
84,8760;1,3087;80,6400;1,4132;64,3793;51,7400;80,6400;64,3793;51,7400
84,8000;1,3094;80,9300;1,4059;64,5310;50,8600;80,9300;64,5310;50,8600
84,8360;1,3057;80,8800;1,4050;64,7241;50,7500;80,8800;64,7241;50,7500
84,8260;1,3043;80,8700;1,4099;64,4276;50,5900;80,8700;64,4276;50,5900
85,0920;1,2986;80,9200;1,4026;64,4966;50,4500;80,9200;64,4966;50,4500
85,1480;1,2993;80,8100;1,4115;64,5724;51,3200;80,8100;64,5724;51,3200
84,9080;1,3043;80,8500;1,4071;64,5000;51,4000;80,8500;64,5000;51,4000
84,8780;1,3054;80,8600;1,4095;64,5241;51,6600;80,8600;64,5241;51,6600
84,9080;1,3084;81,0300;1,4101;64,5276;51,4600;81,0300;64,5276;51,4600
84,7100;1,3066;80,9700;1,4110;64,3621;51,7300;80,9700;64,3621;51,7300
77,0940;1,5595;70,7300;1,7774;52,9621;43,2600;70,7300;52,9621;43,2600
75,6020;1,6050;72,7800;1,6743;56,3828;44,1100;72,7800;56,3828;44,1100
75,1360;1,6211;72,3000;1,6986;55,5862;42,0600;72,3000;55,5862;42,0600
75,0420;1,6154;73,0600;1,6793;56,6759;43,6900;73,0600;56,6759;43,6900
75,0720;1,6213;73,7600;1,6518;56,2138;41,4700;73,7600;56,2138;41,4700
75,1220;1,6181;71,6800;1,7302;54,1552;41,7400;71,6800;54,1552;41,7400
75,1480;1,6164;70,8000;1,7430;52,8966;42,1800;70,8000;52,8966;42,1800
75,2460;1,6126;73,1200;1,6840;55,2586;43,9400;73,1200;55,2586;43,9400
75,3520;1,6126;73,3300;1,6464;56,5069;40,6300;73,3300;56,5069;40,6300
75,2720;1,6142;72,4800;1,6742;55,3241;40,0000;72,4800;55,3241;40,0000
75,2280;1,6188;73,1400;1,6758;54,9828;43,4400;73,1400;54,9828;43,4400
75,1720;1,6171;74,2500;1,6241;57,8931;43,8600;74,2500;57,8931;43,8600
75,3000;1,6064;73,1100;1,6941;56,5793;43,3200;73,1100;56,5793;43,3200
75,6540;1,6047;73,0400;1,6800;54,9621;44,1600;73,0400;54,9621;44,1600
75,9800;1,5934;73,7400;1,6705;55,3655;45,5200;73,7400;55,3655;45,5200
75,4560;1,6066;73,0900;1,6711;55,1862;43,4000;73,0900;55,1862;43,4000
76,0320;1,5902;73,2900;1,6619;57,7276;41,2100;73,2900;57,7276;41,2100
75,8200;1,6001;74,1500;1,6174;56,4655;41,0700;74,1500;56,4655;41,0700
75,9760;1,5931;74,3000;1,6470;59,3276;48,0300;74,3000;59,3276;48,0300
75,4600;1,6025;73,5000;1,6977;57,9690;46,2300;73,5000;57,9690;46,2300
75,8140;1,5918;73,3200;1,6604;55,0069;43,3700;73,3200;55,0069;43,3700
75,9520;1,5924;73,9700;1,6496;57,4483;42,7200;73,9700;57,4483;42,7200
76,0820;1,5887;74,1600;1,6387;57,1034;45,0600;74,1600;57,1034;45,0600
76,3700;1,5780;73,4300;1,6722;56,9517;44,1400;73,4300;56,9517;44,1400
76,1660;1,5868;74,8700;1,6459;58,2448;43,7900;74,8700;58,2448;43,7900
76,2600;1,5808;74,6200;1,6308;58,4483;44,3300;74,6200;58,4483;44,3300
76,3160;1,5747;74,8000;1,6234;58,5379;45,2600;74,8000;58,5379;45,2600
76,5140;1,5716;73,6600;1,6513;57,1586;41,9200;73,6600;57,1586;41,9200
76,3520;1,5798;74,0000;1,6343;56,3000;42,5100;74,0000;56,3000;42,5100
76,4100;1,5773;73,4700;1,6610;56,6793;43,8600;73,4700;56,6793;43,8600
76,6480;1,5677;74,4500;1,6378;56,2138;45,4400;74,4500;56,2138;45,4400
76,6360;1,5709;74,1000;1,6168;58,0103;41,4100;74,1000;58,0103;41,4100
76,8440;1,5638;73,3100;1,6699;57,7931;45,2300;73,3100;57,7931;45,2300
76,9860;1,5580;74,2200;1,6525;55,3000;47,2800;74,2200;55,3000;47,2800
76,5680;1,5642;74,6500;1,6087;57,1034;40,2300;74,6500;57,1034;40,2300
76,6520;1,5605;74,7100;1,6044;59,2966;43,8300;74,7100;59,2966;43,8300
77,3440;1,5443;73,8800;1,6471;53,1517;42,9500;73,8800;53,1517;42,9500
76,9160;1,5562;74,4400;1,6173;57,3793;44,1900;74,4400;57,3793;44,1900
77,1860;1,5506;74,8800;1,6124;58,4552;45,8600;74,8800;58,4552;45,8600
77,0520;1,5534;76,2300;1,5716;58,5069;45,8100;76,2300;58,5069;45,8100
77,0920;1,5536;75,9000;1,5958;58,5414;45,2200;75,9000;58,5414;45,2200
77,1960;1,5517;75,0700;1,6116;57,2207;46,5600;75,0700;57,2207;46,5600
77,2240;1,5511;74,2600;1,6618;57,1724;46,8000;74,2600;57,1724;46,8000
77,1680;1,5470;74,9100;1,6005;58,0621;43,7800;74,9100;58,0621;43,7800
77,1960;1,5460;76,2800;1,5898;60,5138;45,8500;76,2800;60,5138;45,8500
77,3460;1,5420;74,9900;1,6155;58,8586;46,2100;74,9900;58,8586;46,2100
77,3140;1,5430;74,8200;1,6171;58,1000;45,3200;74,8200;58,1000;45,3200
77,5340;1,5390;75,9300;1,5750;57,6069;44,6600;75,9300;57,6069;44,6600
77,7200;1,5333;74,2400;1,6435;55,1759;44,7100;74,2400;55,1759;44,7100
77,7240;1,5321;74,9100;1,6112;58,2621;45,7400;74,9100;58,2621;45,7400
77,5720;1,5424;74,8000;1,6125;60,0724;43,7200;74,8000;60,0724;43,7200
77,5040;1,5309;75,4800;1,6039;59,0897;43,4200;75,4800;59,0897;43,4200
77,4880;1,5303;75,7500;1,5778;59,9414;45,8200;75,7500;59,9414;45,8200
77,6000;1,5353;75,0900;1,6087;58,7034;46,6600;75,0900;58,7034;46,6600
77,7260;1,5241;75,8500;1,5845;61,2310;46,9900;75,8500;61,2310;46,9900
