train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_adversarial;valid_accuracy_swa;valid_accuracy_robust_swa;valid_accuracy_adversarial_swa
81,7340;1,3969;77,3300;1,5151;60,5655;48,5700;77,3300;60,5655;48,5700
81,9720;1,3914;78,4500;1,5003;62,3000;51,7100;78,4500;62,3000;51,7100
82,1480;1,3828;78,6900;1,4792;62,9379;49,9700;78,6900;62,9379;49,9700
82,4440;1,3754;79,2400;1,4813;63,5172;52,1900;79,2400;63,5172;52,1900
82,1660;1,3789;78,5200;1,4837;60,9828;48,2300;78,5200;60,9828;48,2300
82,6520;1,3666;79,1800;1,5033;62,9759;53,0200;79,1800;62,9759;53,0200
82,2740;1,3790;79,3500;1,4617;64,1690;50,3500;79,3500;64,1690;50,3500
82,7500;1,3633;78,8500;1,4864;63,2966;50,1800;78,8500;63,2966;50,1800
82,5540;1,3729;79,2900;1,4752;62,5931;48,3600;79,2900;62,5931;48,3600
82,5840;1,3739;79,8500;1,4451;61,7759;49,8400;79,8500;61,7759;49,8400
82,7160;1,3649;79,5300;1,4553;62,5241;50,4200;79,5300;62,5241;50,4200
82,9380;1,3584;79,1500;1,4717;62,4517;49,9600;79,1500;62,4517;49,9600
82,7420;1,3642;78,5700;1,4847;61,7000;49,0300;78,5700;61,7000;49,0300
82,5140;1,3665;79,7300;1,4612;62,6897;52,4200;79,7300;62,6897;52,4200
82,9640;1,3568;79,6000;1,4650;62,6414;51,0500;79,6000;62,6414;51,0500
83,3880;1,3450;78,9500;1,4761;62,1793;51,3200;78,9500;62,1793;51,3200
82,9680;1,3549;79,3600;1,4656;61,4172;51,5400;79,3600;61,4172;51,5400
83,3060;1,3474;78,7600;1,4843;62,4379;49,8500;78,7600;62,4379;49,8500
83,2420;1,3488;79,7900;1,4439;64,3793;50,0400;79,7900;64,3793;50,0400
83,0180;1,3555;80,0200;1,4478;63,8690;50,6900;80,0200;63,8690;50,6900
83,2300;1,3428;79,8100;1,4349;62,6724;50,4500;79,8100;62,6724;50,4500
83,2640;1,3440;79,8500;1,4436;63,9793;49,1300;79,8500;63,9793;49,1300
83,2360;1,3467;79,7400;1,4468;61,7379;51,2900;79,7400;61,7379;51,2900
83,6100;1,3382;80,2700;1,4440;64,9586;51,8900;80,2700;64,9586;51,8900
83,7700;1,3316;80,9000;1,4203;62,8448;49,9000;80,9000;62,8448;49,9000
83,7500;1,3333;80,4400;1,4388;63,5931;51,2800;80,4400;63,5931;51,2800
83,6440;1,3354;80,3600;1,4355;64,6310;51,4000;80,3600;64,6310;51,4000
83,7260;1,3318;80,3100;1,4299;63,7138;50,8300;80,3100;63,7138;50,8300
83,8700;1,3249;80,1500;1,4389;63,7552;52,7700;80,1500;63,7552;52,7700
83,9260;1,3228;80,2100;1,4300;63,4345;51,7600;80,2100;63,4345;51,7600
84,3800;1,3143;79,9200;1,4263;63,0138;51,4600;79,9200;63,0138;51,4600
84,0740;1,3200;79,8600;1,4538;64,2000;51,8500;79,8600;64,2000;51,8500
84,5360;1,3093;81,1800;1,4150;65,1069;52,6100;81,1800;65,1069;52,6100
84,3340;1,3112;80,0900;1,4303;63,7966;51,6800;80,0900;63,7966;51,6800
84,2300;1,3121;80,5300;1,4143;63,4241;51,0900;80,5300;63,4241;51,0900
84,1940;1,3137;80,3700;1,4295;64,5069;51,6400;80,3700;64,5069;51,6400
84,2680;1,3107;80,6700;1,4139;64,3241;50,8600;80,6700;64,3241;50,8600
84,8440;1,2972;80,4800;1,4297;63,1517;53,7400;80,4800;63,1517;53,7400
84,6360;1,3017;80,6900;1,4213;64,9241;53,5200;80,6900;64,9241;53,5200
84,9160;1,2957;80,9600;1,4087;63,4069;51,0500;80,9600;63,4069;51,0500
84,6560;1,2955;81,3700;1,4005;63,4828;52,9900;81,3700;63,4828;52,9900
84,6760;1,3009;80,8700;1,4038;64,3241;53,0400;80,8700;64,3241;53,0400
84,6320;1,3034;80,9300;1,4097;64,1103;53,3100;80,9300;64,1103;53,3100
85,1200;1,2866;80,9000;1,4042;63,9345;52,7900;80,9000;63,9345;52,7900
85,0380;1,2854;81,1000;1,3991;64,8138;51,5100;81,1000;64,8138;51,5100
84,8700;1,2952;81,5100;1,4007;64,1310;54,3500;81,5100;64,1310;54,3500
84,9380;1,2890;81,2600;1,4032;65,1586;53,2600;81,2600;65,1586;53,2600
85,2200;1,2855;81,2100;1,3901;64,3552;50,5200;81,2100;64,3552;50,5200
85,2520;1,2798;80,8400;1,3934;65,0552;51,9000;80,8400;65,0552;51,9000
85,2780;1,2852;81,0300;1,4022;64,5483;52,6300;81,4000;65,2724;54,4800
85,5320;1,2748;81,0500;1,4035;63,7724;53,0900;81,2100;64,5759;52,9100
85,2380;1,2808;81,6400;1,3913;63,4276;52,7300;81,2800;64,5276;52,5800
85,3180;1,2809;81,5200;1,3885;64,3276;51,7900;81,3300;65,2690;52,2400
85,2800;1,2830;81,1800;1,4070;64,3069;52,9900;81,6500;65,2207;54,2500
85,3640;1,2815;81,1100;1,3978;63,9000;51,8700;81,1200;65,7345;54,0300
85,5440;1,2779;81,5400;1,3963;64,1517;53,6300;81,9000;65,3655;54,0400
85,3280;1,2770;81,2400;1,4020;64,6103;52,3800;81,1800;63,6000;51,6500
85,4760;1,2797;80,7400;1,4199;64,8897;53,7900;81,4300;63,8862;49,1000
85,2100;1,2815;81,3600;1,3914;65,0448;51,3600;81,6200;65,1690;51,9200
85,3640;1,2779;81,2800;1,3854;64,5345;51,8800;81,2500;64,1586;49,9800
85,2440;1,2839;81,4000;1,4010;65,2897;53,1900;81,5100;65,3172;51,3800
85,0880;1,2852;81,0900;1,4051;63,8621;50,9500;81,5900;65,3931;50,2400
85,4980;1,2769;81,7500;1,3910;64,9621;52,3300;81,7600;64,8241;51,3800
85,6480;1,2705;81,1500;1,3948;64,4345;51,9500;81,2000;65,5000;49,4100
85,4460;1,2727;81,3900;1,4049;65,3172;53,9600;81,7700;65,0448;48,6100
85,6400;1,2734;81,3700;1,3967;65,0345;52,3200;82,0500;65,0724;48,8500
85,2040;1,2804;81,0700;1,4070;64,4310;53,0600;82,1600;65,7862;48,9500
85,2260;1,2849;80,9600;1,4147;65,6276;55,3900;81,5800;66,0310;48,2800
