;config_573_avg
Standard_Acc;88,8214
RMSCE;0,0615
gaussian_noise;71,2158
shot_noise;73,3551
impulse_noise;75,5615
defocus_blur;84,1339
glass_blur;76,1230
motion_blur;88,0707
zoom_blur;82,1747
snow;74,8566
frost;80,5908
fog;89,1174
brightness;82,9163
contrast;68,1976
elastic_transform;88,0981
pixelate;88,7207
jpeg_compression;86,7523
speckle_noise;67,6117
gaussian_blur;78,7872
spatter;85,9589
saturate;73,8525
blue_noise;86,3281
brownish_noise;76,7761
checkerboard_cutout;86,3586
circular_motion_blur;86,2305
inverse_sparkles;82,3395
lines;87,7686
pinch_and_twirl;85,1593
ripple;81,9275
sparkles;86,1969
transverse_chromatic_abberation;75,1526
Acc_C-all-19;79,7945
Acc_C-original-15;80,6590
Acc_C-bar-10;83,4238
Acc_all-ex-pixelwise-noise-24;82,3442
RMSCE_C;0,0897
Combined_Noise;86,9537
