;config_576_avg
Standard_Acc;89,3585
RMSCE;0,0476
gaussian_noise;81,1188
shot_noise;82,2388
impulse_noise;83,3008
defocus_blur;80,6549
glass_blur;76,7181
motion_blur;86,9781
zoom_blur;79,8065
snow;74,1180
frost;78,2776
fog;89,8590
brightness;84,1217
contrast;60,7391
elastic_transform;87,4207
pixelate;88,3789
jpeg_compression;86,8073
speckle_noise;79,7302
gaussian_blur;80,1483
spatter;87,1185
saturate;81,2531
blue_noise;87,0361
brownish_noise;79,2694
checkerboard_cutout;86,3861
circular_motion_blur;83,9447
inverse_sparkles;80,4382
lines;88,5681
pinch_and_twirl;86,3708
ripple;78,9825
sparkles;86,7279
transverse_chromatic_abberation;76,9836
Acc_C-all-19;81,5152
Acc_C-original-15;81,3692
Acc_C-bar-10;83,4708
Acc_all-ex-pixelwise-noise-24;82,0863
RMSCE_C;0,0773
Combined_Noise;88,3667
