;config_582_avg
Standard_Acc;82,9773
RMSCE;0,0969
gaussian_noise;60,4095
shot_noise;62,0819
impulse_noise;62,0880
defocus_blur;63,6688
glass_blur;55,2521
motion_blur;74,0936
zoom_blur;67,8101
snow;58,6090
frost;53,5187
fog;53,6316
brightness;54,3304
contrast;54,8950
elastic_transform;78,0762
pixelate;78,3295
jpeg_compression;79,5563
speckle_noise;55,0934
gaussian_blur;52,3407
spatter;76,5411
saturate;50,9460
blue_noise;67,5964
brownish_noise;53,6438
checkerboard_cutout;76,5106
circular_motion_blur;65,6097
inverse_sparkles;71,8231
lines;74,0875
pinch_and_twirl;81,8970
ripple;80,0537
sparkles;78,2074
transverse_chromatic_abberation;51,2207
Acc_C-all-19;62,6985
Acc_C-original-15;63,7567
Acc_C-bar-10;70,0650
Acc_all-ex-pixelwise-noise-24;66,0272
RMSCE_C;0,2764
Combined_Noise;79,8035
