train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust
6,8460;4,2901;11,4900;3,9515;7,0069
13,6420;3,8910;20,3900;3,5485;18,3172
21,2920;3,5350;28,8000;3,1517;20,0000
27,3940;3,2711;34,6200;2,9534;26,8966
32,5440;3,0664;37,8700;2,8435;30,1241
36,9420;2,9016;45,1500;2,6478;32,7862
40,9260;2,7706;46,8700;2,5682;32,4621
44,0300;2,6590;50,1600;2,4883;34,6966
46,8040;2,5688;51,8400;2,4402;33,2207
48,9480;2,4850;55,0800;2,2988;35,4276
51,7780;2,4014;56,2500;2,2548;40,6552
53,5300;2,3368;59,4200;2,1630;40,2621
55,5400;2,2801;62,1800;2,0890;40,6138
57,3500;2,2203;63,7500;2,0129;43,1448
59,1680;2,1684;63,6400;2,0115;45,0000
60,5200;2,1245;66,2800;1,9449;45,8000
61,6760;2,0845;66,5500;1,9044;45,8414
62,6280;2,0592;67,3900;1,8836;46,4207
63,4320;2,0390;67,8500;1,8711;46,7517
63,6660;2,0299;68,3600;1,8673;46,6621
52,3680;2,3702;53,0800;2,4047;35,3724
52,5600;2,3631;55,7600;2,2815;38,4828
54,0100;2,3271;57,3500;2,1818;41,5517
55,3480;2,2797;58,3900;2,2175;41,2966
56,6200;2,2413;59,5600;2,1170;42,0414
58,1260;2,1947;61,1900;2,0873;44,0759
58,7560;2,1634;62,0200;2,0721;39,8552
59,8760;2,1359;63,6400;1,9912;42,2000
60,8240;2,1003;59,8100;2,1252;42,9793
62,1080;2,0604;63,9800;2,0025;42,8000
63,1160;2,0334;64,9600;1,9766;48,3931
64,0500;1,9990;65,8300;1,9845;46,6759
65,0240;1,9666;66,7800;1,9152;43,8069
66,0160;1,9338;66,6500;1,8924;45,0207
66,9380;1,9064;68,1900;1,8576;49,4897
68,1000;1,8815;68,3500;1,8404;45,0207
68,6780;1,8552;69,8500;1,7977;46,1655
70,1160;1,8165;68,3600;1,8616;46,1448
71,0940;1,7858;70,5400;1,8129;44,8345
71,8000;1,7679;71,6900;1,7728;49,0276
73,2440;1,7304;71,3500;1,7635;49,8276
74,1360;1,7063;71,2300;1,7527;49,3448
74,7180;1,6825;72,4900;1,7232;47,0207
75,5840;1,6540;73,1800;1,6992;48,7379
76,3700;1,6372;73,8100;1,6820;49,3034
77,5260;1,6043;74,3000;1,6670;50,9379
78,4180;1,5854;73,3200;1,6917;49,1655
79,0940;1,5598;74,4700;1,6640;51,8345
79,7940;1,5390;74,6800;1,6585;52,4138
80,3100;1,5292;75,3500;1,6362;51,9241
81,1500;1,5051;75,4000;1,6321;53,2621
81,6560;1,4879;75,4600;1,6205;51,4207
82,0540;1,4780;76,1400;1,6233;52,8414
82,4820;1,4650;75,9700;1,6098;52,6138
82,9120;1,4535;75,9400;1,6031;52,9172
83,1580;1,4422;76,3500;1,6022;52,4897
83,4280;1,4413;76,4000;1,5993;52,7724
83,4620;1,4337;76,3500;1,5977;52,7379
83,6680;1,4298;76,4300;1,5974;53,0552
83,3900;1,4285;76,4400;1,5951;52,9448
71,3280;1,7749;68,4900;1,8503;47,2414
69,4620;1,8251;67,6600;1,9217;45,3862
69,8500;1,8195;67,4300;1,9224;48,1793
70,2960;1,8103;68,1700;1,8933;44,1517
