train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust
84,4980;1,3537;79,3300;1,5312;53,9793
84,6420;1,3497;79,7200;1,5339;53,9586
84,8080;1,3443;79,4800;1,5324;54,0828
84,8440;1,3444;79,5000;1,5259;55,0138
84,8900;1,3422;79,5400;1,5232;54,4207
85,0920;1,3345;79,6900;1,5285;54,6828
85,4840;1,3297;79,7400;1,5217;54,2897
85,5020;1,3234;79,5400;1,5099;54,0897
85,4000;1,3243;79,8900;1,5147;54,5586
85,4180;1,3261;79,7900;1,5130;53,9379
85,5840;1,3208;79,5400;1,5256;54,1862
85,8260;1,3170;79,8000;1,5149;54,5379
85,5600;1,3206;79,8500;1,5210;54,8552
85,6140;1,3228;79,8600;1,5151;54,6621
73,3020;1,6806;70,6900;1,8740;42,5586
71,3180;1,7348;70,6500;1,8570;47,2276
71,1700;1,7398;71,2500;1,8262;46,5793
71,5820;1,7346;72,6200;1,7692;49,2759
71,3480;1,7403;70,6400;1,8484;45,2897
71,4080;1,7346;72,7500;1,7514;47,7379
71,6540;1,7286;72,2200;1,8019;44,9586
72,0160;1,7237;72,7000;1,7758;47,4828
72,0920;1,7174;73,0400;1,7641;48,3241
72,0840;1,7200;73,6700;1,7417;50,8759
72,1780;1,7123;72,8300;1,7694;48,2552
72,5860;1,7056;73,4900;1,7789;50,8690
72,7880;1,6989;73,4700;1,7371;52,8897
73,1540;1,6911;72,5200;1,7711;48,8966
73,0100;1,6903;73,5600;1,7598;47,4138
73,2140;1,6880;72,7400;1,7745;48,8138
73,3420;1,6784;73,5200;1,7133;50,9655
73,6560;1,6737;72,8600;1,7788;46,4414
73,3760;1,6729;74,0500;1,7069;47,5931
73,7540;1,6712;73,8600;1,7288;51,4414
74,0860;1,6582;72,5400;1,7528;50,4621
74,0800;1,6570;73,3000;1,7629;47,3103
74,3580;1,6480;74,2500;1,7046;53,5034
74,7540;1,6436;74,3900;1,7283;48,7793
74,7980;1,6396;74,0800;1,7070;48,6828
74,7740;1,6360;72,4000;1,7522;48,4414
74,7920;1,6278;73,7500;1,7334;51,1034
75,1200;1,6282;73,8200;1,7188;48,1862
75,1700;1,6241;73,8900;1,7075;48,9172
75,4500;1,6226;74,8500;1,6913;52,3586
75,5560;1,6121;73,7500;1,7355;50,9379
