;config_592_avg
Standard_Acc;98,5664
RMSCE;0,0016
gaussian_noise;59,5949
shot_noise;89,1622
impulse_noise;73,2079
defocus_blur;4,6561
glass_blur;18,0192
motion_blur;5,4058
zoom_blur;5,0506
snow;1,7625
frost;2,6700
fog;4,2089
brightness;2,6568
contrast;2,7226
elastic_transform;4,8139
pixelate;24,3851
jpeg_compression;82,9146
speckle_noise;68,2494
gaussian_blur;4,8007
spatter;64,2115
saturate;87,9258
blue_noise;52,9133
brownish_noise;27,9758
checkerboard_cutout;53,7551
circular_motion_blur;4,9191
inverse_sparkles;8,1678
lines;46,6395
pinch_and_twirl;8,0495
ripple;4,9849
sparkles;28,7387
transverse_chromatic_abberation;4,8665
Acc_C-all-19;31,9168
Acc_C-original-15;25,4154
Acc_C-bar-10;24,1010
Acc_all-ex-pixelwise-noise-24;21,0125
RMSCE_C;0,2470
Combined_Noise;88,5177
