;config_587_avg
Standard_Acc;97,7640
RMSCE;0,1716
gaussian_noise;57,1748
shot_noise;76,3909
impulse_noise;66,4738
defocus_blur;5,2611
glass_blur;16,8223
motion_blur;11,6270
zoom_blur;5,1032
snow;3,2093
frost;3,6696
fog;2,2491
brightness;9,0228
contrast;0,0000
elastic_transform;12,4293
pixelate;36,4461
jpeg_compression;73,2737
speckle_noise;51,0193
gaussian_blur;5,4978
spatter;50,8878
saturate;81,7704
blue_noise;29,9619
brownish_noise;32,1321
checkerboard_cutout;57,2800
circular_motion_blur;19,8869
inverse_sparkles;7,4313
lines;49,9540
pinch_and_twirl;21,5441
ripple;17,3353
sparkles;32,8818
transverse_chromatic_abberation;2,5253
Acc_C-all-19;29,9120
Acc_C-original-15;25,2769
Acc_C-bar-10;27,0933
Acc_all-ex-pixelwise-noise-24;23,2600
RMSCE_C;0,2330
Combined_Noise;87,2287
