;config_590_avg
Standard_Acc;98,7636
RMSCE;0,0012
gaussian_noise;96,8697
shot_noise;97,0275
impulse_noise;96,9486
defocus_blur;55,9911
glass_blur;55,3992
motion_blur;57,9508
zoom_blur;28,9359
snow;84,7823
frost;97,4747
fog;97,8956
brightness;80,4551
contrast;97,6194
elastic_transform;92,7397
pixelate;65,9477
jpeg_compression;96,9354
speckle_noise;95,1993
gaussian_blur;73,4052
spatter;93,7788
saturate;98,7242
blue_noise;98,1586
brownish_noise;94,5942
checkerboard_cutout;66,9078
circular_motion_blur;73,5236
inverse_sparkles;95,8306
lines;78,6663
pinch_and_twirl;94,1997
ripple;89,5173
sparkles;56,5172
transverse_chromatic_abberation;37,0249
Acc_C-all-19;82,3200
Acc_C-original-15;80,1982
Acc_C-bar-10;78,4940
Acc_all-ex-pixelwise-noise-24;77,7007
RMSCE_C;0,0221
Combined_Noise;98,2112
