;config_586_avg
Standard_Acc;97,8561
RMSCE;0,1681
gaussian_noise;39,3397
shot_noise;81,7046
impulse_noise;13,8629
defocus_blur;21,1759
glass_blur;25,4242
motion_blur;28,1073
zoom_blur;5,0375
snow;11,5086
frost;2,1833
fog;85,6504
brightness;74,7205
contrast;96,1726
elastic_transform;46,3896
pixelate;36,5777
jpeg_compression;37,0643
speckle_noise;72,6029
gaussian_blur;25,7267
spatter;14,5732
saturate;97,8167
blue_noise;87,3339
brownish_noise;11,1140
checkerboard_cutout;31,9479
circular_motion_blur;43,4171
inverse_sparkles;7,8390
lines;15,0467
pinch_and_twirl;79,6659
ripple;60,6471
sparkles;14,5074
transverse_chromatic_abberation;2,2754
Acc_C-all-19;42,9283
Acc_C-original-15;40,3279
Acc_C-bar-10;35,3795
Acc_all-ex-pixelwise-noise-24;36,4412
RMSCE_C;0,1756
Combined_Noise;63,5276
