;config_591_avg
Standard_Acc;98,7242
RMSCE;0,0012
gaussian_noise;50,2828
shot_noise;83,8748
impulse_noise;22,2412
defocus_blur;34,1839
glass_blur;36,3541
motion_blur;43,7196
zoom_blur;17,0328
snow;43,8906
frost;47,1656
fog;89,1490
brightness;79,2319
contrast;98,1060
elastic_transform;87,5444
pixelate;48,1389
jpeg_compression;70,1434
speckle_noise;76,2462
gaussian_blur;39,7475
spatter;42,0623
saturate;98,6584
blue_noise;88,5440
brownish_noise;56,8591
checkerboard_cutout;42,7989
circular_motion_blur;52,7686
inverse_sparkles;19,2424
lines;19,9395
pinch_and_twirl;93,1211
ripple;83,8353
sparkles;31,9742
transverse_chromatic_abberation;15,5728
Acc_C-all-19;58,3039
Acc_C-original-15;56,7373
Acc_C-bar-10;50,4656
Acc_all-ex-pixelwise-noise-24;53,8017
RMSCE_C;0,0945
Combined_Noise;75,8648
