;config_193_avg
Standard_Acc;87,8600
RMSCE;0,0707
gaussian_noise;43,2300
shot_noise;50,4320
impulse_noise;39,8760
defocus_blur;52,1660
glass_blur;41,1880
motion_blur;59,6820
zoom_blur;56,2100
snow;57,6740
frost;63,5160
fog;55,0600
brightness;65,9480
contrast;39,1940
elastic_transform;62,3220
pixelate;66,5520
jpeg_compression;68,0200
speckle_noise;43,1660
gaussian_blur;54,7060
spatter;59,3920
saturate;59,6420
blue_noise_sample;63,5280
brownish_noise;65,2500
caustic_refraction;45,9780
checkerboard_cutout;61,9900
cocentric_sine_waves;42,6640
inverse_sparkles;39,2840
perlin_noise;77,3860
plasma_noise;36,3320
single_frequency_greyscale;46,8160
sparkles;80,4780
Acc_C-all-19;54,6303
Acc_C-original-15;54,7380
Acc_C-bar-10;55,9706
Acc_all-ex-pixelwise-noise-24;56,5604
RMSCE_C;0,1669
Combined_Noise;85,1000
